id,question,explanation,chart_context_json,spec_json
0egzejn5mejtnfdm,What is the difference between Scotland's largest value and England and Wales's smallest value?,"1. Check Scotland's Biggest Value
2. Check the smallest value for England & Wales
3. Check if the value is greater than the value of number 1 or number 2
4. Subtract small value from large value
","{""fields"": [""ResponseCategory"", ""Region"", ""SharePercentage""], ""dimension_fields"": [""ResponseCategory"", ""Region""], ""measure_fields"": [""SharePercentage""], ""primary_dimension"": ""Region"", ""primary_measure"": ""SharePercentage"", ""series_field"": ""Region"", ""categorical_values"": {""ResponseCategory"": [""Neither in favour nor against"", ""Somewhat against"", ""Somewhat in favour"", ""Strongly against"", ""Strongly in favour""], ""Region"": [""England & Wales"", ""Scotland""]}, ""field_types"": {""ResponseCategory"": ""categorical"", ""Region"": ""categorical"", ""SharePercentage"": ""numeric""}, ""numeric_stats"": {""SharePercentage"": {""min"": 2.0, ""max"": 28.0, ""mean"": 17.7}}, ""mark"": ""bar"", ""is_stacked"": true, ""encoding_summary"": {""column"": {""field"": ""ResponseCategory"", ""type"": ""ordinal"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""y"": {""field"": ""SharePercentage"", ""type"": ""quantitative"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""x"": {""field"": ""Region"", ""type"": ""nominal"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""color"": {""field"": ""Region"", ""type"": ""nominal"", ""title"": null, ""aggregate"": null, ""stack"": null}}}","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""group"": ""Scotland""}, {""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""SharePercentage"", ""which"": ""max""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 2}, ""group"": ""England & Wales""}, {""op"": ""findExtremum"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n3""], ""sentenceIndex"": 2}, ""field"": ""SharePercentage"", ""which"": ""min""}], ""ops3"": [{""op"": ""compare"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 3}, ""targetA"": ""ref:n2"", ""targetB"": ""ref:n4"", ""which"": ""max""}], ""ops4"": [{""op"": ""diff"", ""id"": ""n6"", ""meta"": {""nodeId"": ""n6"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 4}, ""field"": ""SharePercentage"", ""targetA"": ""ref:n2"", ""targetB"": ""ref:n4"", ""signed"": false}]}"
0opt5fjw2xphdgp2,Which group shows the highest value in the sum of occasionally and infrequently answered?,"1. calculate the sum of each value of occasionally and infrequently
2. find the maximum","{""fields"": [""Frequency"", ""Race/Ethnicity"", ""Share of respondents""], ""dimension_fields"": [""Frequency"", ""Race/Ethnicity""], ""measure_fields"": [""Share of respondents""], ""primary_dimension"": ""Race/Ethnicity"", ""primary_measure"": ""Share of respondents"", ""series_field"": ""Race/Ethnicity"", ""categorical_values"": {""Frequency"": [""Frequently (one or more times per month)"", ""Infrequently (once a year or less)"", ""Occasionally (less than once a month)""], ""Race/Ethnicity"": [""African–American"", ""Hispanic"", ""Other"", ""White""]}, ""field_types"": {""Frequency"": ""categorical"", ""Race/Ethnicity"": ""categorical"", ""Share of respondents"": ""numeric""}, ""numeric_stats"": {""Share of respondents"": {""min"": 0.12, ""max"": 0.48, ""mean"": 0.3333333333333333}}, ""mark"": ""bar"", ""is_stacked"": true, ""encoding_summary"": {""column"": {""field"": ""Frequency"", ""type"": ""ordinal"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""y"": {""field"": ""Share of respondents"", ""type"": ""quantitative"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""x"": {""field"": ""Race/Ethnicity"", ""type"": ""nominal"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""color"": {""field"": ""Race/Ethnicity"", ""type"": ""nominal"", ""title"": null, ""aggregate"": null, ""stack"": null}}}","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Frequency"", ""include"": [""Occasionally (less than once a month)""]}, {""op"": ""sum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Share of respondents""}, {""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Frequency"", ""include"": [""Infrequently (once a year or less)""]}, {""op"": ""sum"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 1}, ""field"": ""Share of respondents""}], ""ops2"": [{""op"": ""compare"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 2}, ""field"": ""Frequency"", ""targetA"": ""ref:n2"", ""targetB"": ""ref:n4"", ""which"": ""max""}]}"
0vw6ydim9cff8ji6,In which year did construction record the highest percentage?,- Compare the percentage values for all years in the construction sector to each other,"{""fields"": [""Industry Sector"", ""Period"", ""Share of SMEs""], ""dimension_fields"": [""Industry Sector"", ""Period""], ""measure_fields"": [""Share of SMEs""], ""primary_dimension"": ""Period"", ""primary_measure"": ""Share of SMEs"", ""series_field"": ""Period"", ""categorical_values"": {""Industry Sector"": [""Agriculture, Hunting and Forestry; Fishing"", ""Construction"", ""Health and Social work"", ""Hotels and Restaurants"", ""Manufacturing"", ""Other Community, Social and Personal Service Activities"", ""Real Estate, Renting and Business Activities"", ""Transport, Storage and Communication"", ""Wholesale and Retail Trade; Repairs""], ""Period"": [""Q2 2014"", ""Q2 2015"", ""Q2 2016"", ""Q2 2017"", ""Q2 2018"", ""Q2 2019""]}, ""field_types"": {""Industry Sector"": ""categorical"", ""Period"": ""categorical"", ""Share of SMEs"": ""numeric""}, ""numeric_stats"": {""Share of SMEs"": {""min"": 0.03, ""max"": 0.22, ""mean"": 0.09592592592592591}}, ""mark"": ""bar"", ""is_stacked"": true, ""encoding_summary"": {""column"": {""field"": ""Industry Sector"", ""type"": ""ordinal"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""y"": {""field"": ""Share of SMEs"", ""type"": ""quantitative"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""x"": {""field"": ""Period"", ""type"": ""nominal"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""color"": {""field"": ""Period"", ""type"": ""nominal"", ""title"": null, ""aggregate"": null, ""stack"": null}}}","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Industry Sector"", ""include"": [""Construction""]}, {""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Share of SMEs"", ""which"": ""max""}]}"
10gtgmmgh599jnr7,What is the difference between the second largest and the smallest values between 2000 and 2008?,"1. Check the largest value between 2000 and 2009
2. Determine the second largest value after the largest value between 2000 and 2009
3. Determine the smallest value between 2000 and 2009 
4. Subtract small value from large value","{""fields"": [""Year"", ""Percentage_of_Population""], ""dimension_fields"": [""Year""], ""measure_fields"": [""Percentage_of_Population""], ""primary_dimension"": ""Year"", ""primary_measure"": ""Percentage_of_Population"", ""series_field"": null, ""categorical_values"": {""Year"": [""2000"", ""2001"", ""2002"", ""2003"", ""2004"", ""2005"", ""2006"", ""2007"", ""2008"", ""2009"", ""2010"", ""2011"", ""2012"", ""2013"", ""2014"", ""2015"", ""2016"", ""2017"", ""2018"", ""2019""]}, ""field_types"": {""Year"": ""categorical"", ""Percentage_of_Population"": ""numeric""}, ""numeric_stats"": {""Percentage_of_Population"": {""min"": 0.086, ""max"": 0.135, ""mean"": 0.10715}}, ""mark"": ""line"", ""is_stacked"": false, ""encoding_summary"": {""x"": {""field"": ""Year"", ""type"": ""nominal"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""y"": {""field"": ""Percentage_of_Population"", ""type"": ""quantitative"", ""title"": null, ""aggregate"": null, ""stack"": null}}}","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Year"", ""operator"": ""between"", ""value"": [""2000"", ""2009""]}, {""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Percentage_of_Population"", ""which"": ""max""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Year"", ""operator"": ""between"", ""value"": [""2000"", ""2009""]}, {""op"": ""findExtremum"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 2}, ""field"": ""Percentage_of_Population"", ""which"": ""max"", ""rank"": 2}], ""ops3"": [{""op"": ""filter"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [], ""sentenceIndex"": 3}, ""field"": ""Year"", ""operator"": ""between"", ""value"": [""2000"", ""2009""]}, {""op"": ""findExtremum"", ""id"": ""n6"", ""meta"": {""nodeId"": ""n6"", ""inputs"": [""n5""], ""sentenceIndex"": 3}, ""field"": ""Percentage_of_Population"", ""which"": ""min""}], ""ops4"": [{""op"": ""diff"", ""id"": ""n7"", ""meta"": {""nodeId"": ""n7"", ""inputs"": [""n4"", ""n6""], ""sentenceIndex"": 4}, ""field"": ""Percentage_of_Population"", ""targetA"": ""ref:n4"", ""targetB"": ""ref:n6"", ""signed"": false}]}"
1sf5c8wqw1192q6b,How many dates was the growth rate below the average?,"1. calculate average growth rate
2. filter for the date for which the growth rate was below the average
3. count the number of filtered dates ","{""fields"": [""Month"", ""Growth rate of HICP (%)""], ""dimension_fields"": [""Month""], ""measure_fields"": [""Growth rate of HICP (%)""], ""primary_dimension"": ""Month"", ""primary_measure"": ""Growth rate of HICP (%)"", ""series_field"": null, ""categorical_values"": {""Month"": [""Apr '18"", ""Aug '18"", ""Dec '18"", ""Feb '18"", ""Jan '18"", ""Jul '18"", ""Jun '18"", ""Mar '18"", ""May '18"", ""Nov '18"", ""Oct '18"", ""Sep '18""]}, ""field_types"": {""Month"": ""categorical"", ""Growth rate of HICP (%)"": ""numeric""}, ""numeric_stats"": {""Growth rate of HICP (%)"": {""min"": 0.7, ""max"": 1.6, ""mean"": 1.1916666666666667}}, ""mark"": ""unknown"", ""is_stacked"": false, ""encoding_summary"": {}}","{""ops"": [{""op"": ""average"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Growth rate of HICP (%)""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Growth rate of HICP (%)"", ""operator"": ""<"", ""value"": ""ref:n1""}], ""ops3"": [{""op"": ""count"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 3}}]}"
66va2s35es5t86l3,What is the year with the largest increase compared to the previous year?,"- Find the difference between the current value and the previous data value for all years with previous years.
- Find the year in which the highest value was recorded among the differences.","{""fields"": [""Year"", ""In millions""], ""dimension_fields"": [""Year""], ""measure_fields"": [""In millions""], ""primary_dimension"": ""Year"", ""primary_measure"": ""In millions"", ""series_field"": null, ""categorical_values"": {""Year"": [""1970"", ""1971"", ""1972"", ""1973"", ""1974"", ""1975"", ""1976"", ""1977"", ""1978"", ""1979"", ""1980"", ""1981"", ""1982"", ""1983"", ""1984"", ""1985"", ""1986"", ""1987"", ""1988"", ""1989"", ""1990"", ""1991"", ""1992"", ""1993"", ""1994"", ""1995"", ""1996"", ""1997"", ""1998"", ""1999"", ""2000"", ""2001"", ""2002"", ""2003"", ""2004"", ""2005"", ""2006"", ""2007"", ""2008"", ""2009"", ""2010"", ""2011"", ""2012"", ""2013"", ""2014"", ""2015"", ""2016"", ""2017"", ""2018"", ""2019""]}, ""field_types"": {""Year"": ""categorical"", ""In millions"": ""numeric""}, ""numeric_stats"": {""In millions"": {""min"": 9.6, ""max"": 60.6, ""mean"": 32.28333333333334}}, ""mark"": ""line"", ""is_stacked"": false, ""encoding_summary"": {""x"": {""field"": ""Year"", ""type"": ""nominal"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""y"": {""field"": ""In millions"", ""type"": ""quantitative"", ""title"": null, ""aggregate"": null, ""stack"": null}}}","{""ops"": [{""op"": ""lagDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""In millions""}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""In millions"", ""which"": ""max""}]}"
7272hodb02i6e09q,What is the difference between the maximum before 2014 and the maximum after 2014?,"1. Calculate the maximum between the values before 2014.
2. Calculate the maximum between the values after 2014.
3. Calculate the difference.","{""fields"": [""Year"", ""Population growth compared to previous year""], ""dimension_fields"": [""Year""], ""measure_fields"": [""Population growth compared to previous year""], ""primary_dimension"": ""Year"", ""primary_measure"": ""Population growth compared to previous year"", ""series_field"": null, ""categorical_values"": {""Year"": [""2009"", ""2010"", ""2011"", ""2012"", ""2013"", ""2014"", ""2015"", ""2016"", ""2017"", ""2018"", ""2019""]}, ""field_types"": {""Year"": ""categorical"", ""Population growth compared to previous year"": ""numeric""}, ""numeric_stats"": {""Population growth compared to previous year"": {""min"": 2.66, ""max"": 2.76, ""mean"": 2.730909090909091}}, ""mark"": ""line"", ""is_stacked"": false, ""encoding_summary"": {""x"": {""field"": ""Year"", ""type"": ""nominal"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""y"": {""field"": ""Population growth compared to previous year"", ""type"": ""quantitative"", ""title"": null, ""aggregate"": null, ""stack"": null}}}","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Year"", ""operator"": ""between"", ""value"": [""2009"", ""2013""]}, {""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Population growth compared to previous year"", ""which"": ""max""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Year"", ""operator"": ""between"", ""value"": [""2014"", ""2019""]}, {""op"": ""findExtremum"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 2}, ""field"": ""Population growth compared to previous year"", ""which"": ""max""}], ""ops3"": [{""op"": ""diff"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 3}, ""field"": ""Population growth compared to previous year"", ""targetA"": ""ref:n2"", ""targetB"": ""ref:n4"", ""signed"": false}]}"
23wg8zio5ahp40tg,Which year had the biggest gap between favor and oppose?,"1. calculate difference between the values of favor and oppose
2. find extremum","{""fields"": [""Year"", ""Opinion"", ""Percentage""], ""dimension_fields"": [""Year"", ""Opinion""], ""measure_fields"": [""Percentage""], ""primary_dimension"": ""Year"", ""primary_measure"": ""Percentage"", ""series_field"": ""Opinion"", ""categorical_values"": {""Year"": [""1996"", ""2001"", ""2003"", ""2004"", ""2005"", ""2006"", ""2007"", ""2008"", ""2009"", ""2010""], ""Opinion"": [""Favor"", ""Oppose""]}, ""field_types"": {""Year"": ""categorical"", ""Opinion"": ""categorical"", ""Percentage"": ""numeric""}, ""numeric_stats"": {""Percentage"": {""min"": 27.0, ""max"": 65.0, ""mean"": 45.35}}, ""mark"": ""line"", ""is_stacked"": false, ""encoding_summary"": {""x"": {""field"": ""Year"", ""type"": ""ordinal"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""y"": {""field"": ""Percentage"", ""type"": ""quantitative"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""color"": {""field"": ""Opinion"", ""type"": ""nominal"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""tooltip"": {""field"": ""Year"", ""type"": ""ordinal"", ""title"": ""Year"", ""aggregate"": null, ""stack"": null}}}","{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""by"": ""Year"", ""field"": ""Percentage"", ""groupA"": ""Favor"", ""groupB"": ""Oppose"", ""signed"": true, ""absolute"": false, ""seriesField"": ""Opinion""}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Percentage"", ""which"": ""max""}]}"
16aphfabldrpgcmd,What is the sum of the number of weights exceeding 3670 in the Boys group and the number of weights exceeding 3550 in the Girls group?,"1. Counting the number of values above 3670 on the Boys graph
2. Counting the number of values above 3550 on the Girls graph
3. Add the number of 1 and 2","{""fields"": [""Year"", ""Group"", ""Average weight in metric grams""], ""dimension_fields"": [""Year"", ""Group""], ""measure_fields"": [""Average weight in metric grams""], ""primary_dimension"": ""Year"", ""primary_measure"": ""Average weight in metric grams"", ""series_field"": ""Group"", ""categorical_values"": {""Group"": [""Boys"", ""Girls"", ""Total""], ""Year"": [""2010"", ""2011"", ""2012"", ""2013"", ""2014"", ""2015"", ""2016"", ""2017"", ""2018"", ""2019"", ""2020""]}, ""field_types"": {""Year"": ""categorical"", ""Group"": ""categorical"", ""Average weight in metric grams"": ""numeric""}, ""numeric_stats"": {""Average weight in metric grams"": {""min"": 3531.0, ""max"": 3677.0, ""mean"": 3603.6666666666665}}, ""mark"": ""line"", ""is_stacked"": false, ""encoding_summary"": {""x"": {""field"": ""Year"", ""type"": ""nominal"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""y"": {""field"": ""Average weight in metric grams"", ""type"": ""quantitative"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""color"": {""field"": ""Group"", ""type"": ""nominal"", ""title"": null, ""aggregate"": null, ""stack"": null}}}","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Average weight in metric grams"", ""operator"": "">"", ""value"": 3670, ""group"": ""Boys""}, {""op"": ""count"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Average weight in metric grams""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Average weight in metric grams"", ""operator"": "">"", ""value"": 3550, ""group"": ""Girls""}, {""op"": ""count"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 2}, ""field"": ""Average weight in metric grams""}], ""ops3"": [{""op"": ""add"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 3}, ""targetA"": ""ref:n2"", ""targetB"": ""ref:n4"", ""field"": ""Average weight in metric grams""}]}"
2kmpy10btl65kr2j,What is the average of the percentage of responses in the last three years of Favourable views of the US?,"- Filters data from 2015 to 2017
- Average the the percentage of responses of Favourable views of U.S from filtered data","{""fields"": [""Year"", ""Opinion_Type"", ""Percentage_of_Respondents""], ""dimension_fields"": [""Year"", ""Opinion_Type""], ""measure_fields"": [""Percentage_of_Respondents""], ""primary_dimension"": ""Year"", ""primary_measure"": ""Percentage_of_Respondents"", ""series_field"": ""Opinion_Type"", ""categorical_values"": {""Opinion_Type"": [""Confidence in US President"", ""Favorable view of US""], ""Year"": [""2006"", ""2007"", ""2008"", ""2009"", ""2010"", ""2011"", ""2012"", ""2013"", ""2014"", ""2015"", ""2016"", ""2017""]}, ""field_types"": {""Year"": ""categorical"", ""Opinion_Type"": ""categorical"", ""Percentage_of_Respondents"": ""numeric""}, ""numeric_stats"": {""Percentage_of_Respondents"": {""min"": 24.0, ""max"": 85.0, ""mean"": 62.25}}, ""mark"": ""line"", ""is_stacked"": false, ""encoding_summary"": {""x"": {""field"": ""Year"", ""type"": ""nominal"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""y"": {""field"": ""Percentage_of_Respondents"", ""type"": ""quantitative"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""color"": {""field"": ""Opinion_Type"", ""type"": ""nominal"", ""title"": null, ""aggregate"": null, ""stack"": null}}}","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Year"", ""operator"": ""between"", ""value"": [""2015"", ""2017""]}], ""ops2"": [{""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Percentage_of_Respondents"", ""group"": ""Favorable view of US""}]}"
3z678inbp0t89ahu,In how many years was the difference between Disatisfied and Satisfied less than the difference between their means?,"1. Calculate the average of Dissatisfied.
2. Calculate the average of Satisfied.
3. Calculate the difference between the two values.
4. Calculate the difference for each year.
5. Count all years that have a lower difference than the difference between the averages.","{""fields"": [""Year"", ""Opinion"", ""Percentage_of_Respondents""], ""dimension_fields"": [""Year"", ""Opinion""], ""measure_fields"": [""Percentage_of_Respondents""], ""primary_dimension"": ""Year"", ""primary_measure"": ""Percentage_of_Respondents"", ""series_field"": ""Opinion"", ""categorical_values"": {""Year"": [""2002"", ""2007"", ""2008"", ""2009"", ""2010"", ""2011"", ""2012"", ""2013"", ""2014""], ""Opinion"": [""Dissatisfied"", ""Satisfied""]}, ""field_types"": {""Year"": ""categorical"", ""Opinion"": ""categorical"", ""Percentage_of_Respondents"": ""numeric""}, ""numeric_stats"": {""Percentage_of_Respondents"": {""min"": 16.0, ""max"": 79.0, ""mean"": 48.611111111111114}}, ""mark"": ""line"", ""is_stacked"": false, ""encoding_summary"": {""x"": {""field"": ""Year"", ""type"": ""ordinal"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""y"": {""field"": ""Percentage_of_Respondents"", ""type"": ""quantitative"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""color"": {""field"": ""Opinion"", ""type"": ""nominal"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""tooltip"": {""field"": ""Year"", ""type"": ""ordinal"", ""title"": ""Year"", ""aggregate"": null, ""stack"": null}}}","{""ops"": [{""op"": ""average"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Percentage_of_Respondents"", ""group"": ""Dissatisfied""}], ""ops2"": [{""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Percentage_of_Respondents"", ""group"": ""Satisfied""}], ""ops3"": [{""op"": ""diff"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n1"", ""n2""], ""sentenceIndex"": 3}, ""field"": ""Percentage_of_Respondents"", ""targetA"": ""ref:n1"", ""targetB"": ""ref:n2"", ""signed"": false}], ""ops4"": [{""op"": ""pairDiff"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [], ""sentenceIndex"": 4}, ""by"": ""Year"", ""seriesField"": ""Opinion"", ""field"": ""Percentage_of_Respondents"", ""groupA"": ""Dissatisfied"", ""groupB"": ""Satisfied"", ""signed"": true, ""absolute"": false}], ""ops5"": [{""op"": ""filter"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n3"", ""n4""], ""sentenceIndex"": 5}, ""field"": ""Percentage_of_Respondents"", ""operator"": ""<"", ""value"": ""ref:n3""}]}"
