participant_code,order_system,order_chart,order_index,system,system_label,method,group,chart_id,chart_type,question,answer_shown,answer_is_correct,correct_answer,participant_answer_correct,judged_correctly,first_error_chunk_index,error_description,response_time_ms,updated_at,rating_reasoning_easy,rating_derivation_clear,rating_usefulness
SO1CO1,SO1,CO1,10,B2,C,b2,G3,2s65jcap9pn289qx,line_multiple,What is the sum of the differences between women and men in the last five years?,196.94,False,163.28,Yes,False,,,81186,2026-07-16T10:15:31.956Z,7,7,7
SO1CO1,SO1,CO1,11,B1,B,b1,G2,2bhsybiilde28j87,bar_stacked,What is the average percentage of non-black races that they answered very interested?,19%,True,19%,Yes,True,,,59235,2026-07-16T10:15:31.956Z,6,6,4
SO1CO1,SO1,CO1,12,B3,D,b3,G4,01mksjs373fhcl4q,bar_grouped,Which sector showed the most decline?,Large companies,True,Large companies,Yes,True,,,47360,2026-07-16T10:15:31.956Z,7,7,7
SO1CO1,SO1,CO1,13,B2,C,b2,G3,0xc7sx6ll8fl5rgh,bar_grouped,What is the average of the vote share at an age when Clinton received a lower vote share?,0.37,False,0.31,No,True,2,The final output answer is wrong but the answer in the explanation is correct ,70505,2026-07-16T10:15:31.956Z,7,7,7
SO1CO1,SO1,CO1,14,B1,B,b1,G2,16aphfabldrpgcmd,line_multiple,What is the sum of the number of weights exceeding 3670 in the Boys group and the number of weights exceeding 3550 in the Girls group?,8,True,8,Yes,True,,,110734,2026-07-16T10:15:31.956Z,6,6,6
SO1CO1,SO1,CO1,15,B3,D,b3,G4,95yhyqjyeu4fohbj,line_simple,Is the average of the minimum and maximum values greater compared to the value in 2010?,No,True,No,Yes,True,,,110781,2026-07-16T10:15:31.956Z,7,7,7
SO1CO1,SO1,CO1,16,B2,C,b2,G3,77xb5ug5lhfmkb74,bar_stacked,What is the sum of number of employees from Europe region before 2015?,230769,True,230769,Yes,True,,,56830,2026-07-16T10:15:31.956Z,7,7,7
SO1CO1,SO1,CO1,17,Ours,A,ours,G1,8chfa8n079zpfigi,line_simple,How many years correspond to a value between 19 and 30?,10,False,11,No,True,0,"The range in the graph should mark between 19 and 30 instead of 20 and 30, the correct answer should be 11",85373,2026-07-16T10:15:31.956Z,2,3,2
SO1CO1,SO1,CO1,18,B3,D,b3,G4,1a09xqtrj8zms716,bar_simple,What is the average value of top 3 malls' per sqaure foot cost?,600,True,600,Yes,True,,,26710,2026-07-16T10:15:31.956Z,7,7,7
SO1CO1,SO1,CO1,19,B2,C,b2,G3,0gvrmm8qbn6o1vya,bar_simple,What is the average of Season's ticket prices with a ticket price of $60 or less?,53.41,True,53.41,No,False,2,The answer in the explanation should be 53.41,72592,2026-07-16T10:15:31.956Z,5,5,4
SO1CO2,SO1,CO2,0,B3,D,b3,G1,11e148qcs7x70t8v,bar_stacked,in which years does south korea have a bigger value than france?,"2015, 2016, 2017, 2018, Jan-Oct 2019",False,"2016, 2017, 2018, Jan-Oct 2019",No,True,2,"In 2015, SK does not have a bigger value than France, but the reasoning describes it as a 'near tie'.",38536,2026-07-16T09:45:49.135Z,6,7,6
SO1CO2,SO1,CO2,1,B1,B,b1,G3,0xc7sx6ll8fl5rgh,bar_grouped,What is the average of the vote share at an age when Clinton received a lower vote share?,0.37,False,0.31,No,True,0,"The reasoning and answer is correct. However, the final answer is wrong.",44014,2026-07-16T09:45:49.135Z,5,3,2
SO1CO2,SO1,CO2,2,Ours,A,ours,G2,0jbrb1dcbliiampz,bar_simple,How many years had investments of over 22 Billion Euros in the years 2011 to 2014?,7,False,3,No,True,0,It ignores the restriction for no reason at all.,35348,2026-07-16T09:45:49.135Z,6,7,3
SO1CO2,SO1,CO2,3,Ours,A,ours,G2,66va2s35es5t86l3,line_simple,What is the year with the largest increase compared to the previous year?,2010,True,2010,Yes,True,,,22626,2026-07-16T09:45:49.135Z,7,7,7
SO1CO2,SO1,CO2,4,Ours,A,ours,G2,16aphfabldrpgcmd,line_multiple,What is the sum of the number of weights exceeding 3670 in the Boys group and the number of weights exceeding 3550 in the Girls group?,8,True,8,Yes,True,,,45066,2026-07-16T09:45:49.135Z,5,7,6
SO1CO2,SO1,CO2,5,Ours,A,ours,G2,0egzejn5mejtnfdm,bar_grouped,What is the difference between Scotland's largest value and England and Wales's smallest value?,12,False,26,No,True,1,"The question asks for E&W's smallest value, but the reasoning finds the second-lowest value.",34707,2026-07-16T09:45:49.135Z,6,7,3
SO1CO2,SO1,CO2,6,B1,B,b1,G3,77xb5ug5lhfmkb74,bar_stacked,What is the sum of number of employees from Europe region before 2015?,230769,True,230769,Yes,True,,,147413,2026-07-16T09:45:49.135Z,4,1,1
SO1CO2,SO1,CO2,7,B1,B,b1,G3,10gtgmmgh599jnr7,line_simple,What is the difference between the second largest and the smallest values between 2000 and 2008?,0.02,True,0.02,Yes,True,,,130928,2026-07-16T09:45:49.135Z,5,3,2
SO1CO2,SO1,CO2,8,B2,C,b2,G4,1a09xqtrj8zms716,bar_simple,What is the average value of top 3 malls' per sqaure foot cost?,600,True,600,Yes,True,,,43230,2026-07-16T09:45:49.135Z,7,6,7
SO1CO2,SO1,CO2,9,B2,C,b2,G4,95yhyqjyeu4fohbj,line_simple,Is the average of the minimum and maximum values greater compared to the value in 2010?,No,True,No,Yes,True,,,74713,2026-07-16T09:45:49.135Z,3,6,5
SO1CO2,SO1,CO2,10,B2,C,b2,G4,2eiyyw562tcvjypp,line_multiple,How many years has Russia had higher favorability than the US?,3,False,2,No,True,1,One mark is wrong (the system marked a year where US is higher than Russia).,23664,2026-07-16T09:45:49.135Z,7,4,3
SO1CO2,SO1,CO2,11,B2,C,b2,G4,10t8o5vhethzeod1,bar_stacked,In which year was the agriculture sector the highest,2017,False,2011,No,True,2,"The reasoning is correct, but the system selected a segment where Agriculture isn't actually the tallest.",16263,2026-07-16T09:45:49.135Z,7,7,5
SO1CO2,SO1,CO2,12,B2,C,b2,G4,01mksjs373fhcl4q,bar_grouped,Which sector showed the most decline?,Large companies,True,Large companies,Yes,True,,,28928,2026-07-16T09:45:49.135Z,6,7,7
SO1CO2,SO1,CO2,13,B1,B,b1,G3,2s65jcap9pn289qx,line_multiple,What is the sum of the differences between women and men in the last five years?,196.94,False,163.28,No,True,0,"The reasoning was correct, but the answer is wrong when you actually do the math. 
(Maybe I calculated it wrong...?)",85521,2026-07-16T09:45:49.135Z,6,3,2
SO1CO2,SO1,CO2,14,B3,D,b3,G1,1k8qhmg9rui7gtzh,line_multiple,What is the difference between the largest value in Germany and the smallest value in the U.S. between 2010 and 2015?,31,True,31,Yes,True,,,43308,2026-07-16T09:45:49.135Z,7,7,7
SO1CO2,SO1,CO2,15,B3,D,b3,G1,8chfa8n079zpfigi,line_simple,How many years correspond to a value between 19 and 30?,10,False,11,Yes,False,,,39975,2026-07-16T09:45:49.135Z,7,6,2
SO1CO2,SO1,CO2,16,B1,B,b1,G3,0gvrmm8qbn6o1vya,bar_simple,What is the average of Season's ticket prices with a ticket price of $60 or less?,53.41,True,53.41,Yes,True,,,56063,2026-07-16T09:45:49.135Z,6,3,1
SO1CO2,SO1,CO2,17,B3,D,b3,G1,0wflwm4jebx7n12y,bar_simple,What is the difference between the average and the maximum number?,141.25,True,141.25,No,False,0,"Reasoning step 1 and 2 is mixed up (Step 1 shows Step 2 visualization, and Step 2 shows Step 1 visualization).
Also, Step 3 reasoning is correct, but the reasoning answer does not match the final answer.",39336,2026-07-16T09:45:49.135Z,6,5,3
SO1CO2,SO1,CO2,18,B3,D,b3,G1,16fif5hdi8yzml00,bar_grouped,What is the difference between average of maximum payment in all states and average of minimum payment in all states?,7.5,True,7.5,No,False,1,"The reasoning is all correct, but the final answer is wrong.",53094,2026-07-16T09:45:49.135Z,3,6,3
SO1CO2,SO1,CO2,19,Ours,A,ours,G2,2bhsybiilde28j87,bar_stacked,What is the average percentage of non-black races that they answered very interested?,19%,True,19%,Yes,True,,,21632,2026-07-16T09:45:49.135Z,7,6,7
SO1CO3,SO1,CO3,0,B2,C,b2,G1,1k8qhmg9rui7gtzh,line_multiple,What is the difference between the largest value in Germany and the smallest value in the U.S. between 2010 and 2015?,31,True,31,No,False,0,"The US's smallest value occurred in 2014, so the chart should be filtered to the years 2010 to 2014",117147,2026-07-17T04:59:30.322Z,7,7,7
SO1CO3,SO1,CO3,1,B1,B,b1,G4,95yhyqjyeu4fohbj,line_simple,Is the average of the minimum and maximum values greater compared to the value in 2010?,No,True,No,No,False,0,"Since the 2010 value is 2.39 and the average point is 2.29, the average point is not greater than the 2010 value, so the answer no is incorrect",185339,2026-07-17T04:59:30.322Z,4,6,6
SO1CO3,SO1,CO3,2,B1,B,b1,G4,01mksjs373fhcl4q,bar_grouped,Which sector showed the most decline?,Large companies,True,Large companies,Yes,True,,,98865,2026-07-17T04:59:30.322Z,7,7,7
SO1CO3,SO1,CO3,3,B2,C,b2,G1,0wflwm4jebx7n12y,bar_simple,What is the difference between the average and the maximum number?,141.25,True,141.25,No,False,2,leaving difference was 150 in total; average: 230 - maximum 330 = 150,104301,2026-07-17T04:59:30.322Z,7,7,7
SO1CO3,SO1,CO3,4,B1,B,b1,G4,2eiyyw562tcvjypp,line_multiple,How many years has Russia had higher favorability than the US?,3,False,2,No,True,0,The total number of points Russia passed us was only 2,62116,2026-07-17T04:59:30.322Z,7,7,7
SO1CO3,SO1,CO3,5,B3,D,b3,G2,0egzejn5mejtnfdm,bar_grouped,What is the difference between Scotland's largest value and England and Wales's smallest value?,12,False,26,No,True,1,England smallest = 2 - scotland's largest 28 = the difference should be 26 ,64794,2026-07-17T04:59:30.322Z,6,6,6
SO1CO3,SO1,CO3,6,B2,C,b2,G1,16fif5hdi8yzml00,bar_grouped,What is the difference between average of maximum payment in all states and average of minimum payment in all states?,7.5,True,7.5,Yes,True,,,66600,2026-07-17T04:59:30.322Z,7,7,7
SO1CO3,SO1,CO3,7,Ours,A,ours,G3,0xc7sx6ll8fl5rgh,bar_grouped,What is the average of the vote share at an age when Clinton received a lower vote share?,0.37,False,0.31,Yes,False,,,74666,2026-07-17T04:59:30.322Z,7,7,7
SO1CO3,SO1,CO3,8,Ours,A,ours,G3,2s65jcap9pn289qx,line_multiple,What is the sum of the differences between women and men in the last five years?,196.94,False,163.28,Yes,False,,,60746,2026-07-17T04:59:30.322Z,7,7,7
SO1CO3,SO1,CO3,9,B3,D,b3,G2,0jbrb1dcbliiampz,bar_simple,How many years had investments of over 22 Billion Euros in the years 2011 to 2014?,7,False,3,Yes,False,,,49667,2026-07-17T04:59:30.322Z,7,7,7
SO1CO3,SO1,CO3,10,B1,B,b1,G4,1a09xqtrj8zms716,bar_simple,What is the average value of top 3 malls' per sqaure foot cost?,600,True,600,Yes,True,,,73733,2026-07-17T04:59:30.322Z,6,3,3
SO1CO3,SO1,CO3,11,B2,C,b2,G1,8chfa8n079zpfigi,line_simple,How many years correspond to a value between 19 and 30?,10,False,11,Yes,False,,,59132,2026-07-17T04:59:30.322Z,6,6,6
SO1CO3,SO1,CO3,12,Ours,A,ours,G3,10gtgmmgh599jnr7,line_simple,What is the difference between the second largest and the smallest values between 2000 and 2008?,0.02,True,0.02,Yes,True,,,81361,2026-07-17T04:59:30.322Z,4,6,7
SO1CO3,SO1,CO3,13,B3,D,b3,G2,2bhsybiilde28j87,bar_stacked,What is the average percentage of non-black races that they answered very interested?,19%,True,19%,Yes,True,,,35649,2026-07-17T04:59:30.322Z,7,7,7
SO1CO3,SO1,CO3,14,B2,C,b2,G1,11e148qcs7x70t8v,bar_stacked,in which years does south korea have a bigger value than france?,"2015, 2016, 2017, 2018, Jan-Oct 2019",False,"2016, 2017, 2018, Jan-Oct 2019",No,True,2,Since 2016 korea's value gets bigger than france,26331,2026-07-17T04:59:30.322Z,7,7,7
SO1CO3,SO1,CO3,15,B1,B,b1,G4,10t8o5vhethzeod1,bar_stacked,In which year was the agriculture sector the highest,2017,False,2011,No,True,0,"the year with the tallest agriculture sector was 2011, not 2017",26365,2026-07-17T04:59:30.322Z,7,7,7
SO1CO3,SO1,CO3,16,B3,D,b3,G2,66va2s35es5t86l3,line_simple,What is the year with the largest increase compared to the previous year?,2010,True,2010,Yes,True,,,19953,2026-07-17T04:59:30.322Z,7,7,7
SO1CO3,SO1,CO3,17,B3,D,b3,G2,16aphfabldrpgcmd,line_multiple,What is the sum of the number of weights exceeding 3670 in the Boys group and the number of weights exceeding 3550 in the Girls group?,8,True,8,Yes,True,,,35205,2026-07-17T04:59:30.322Z,7,7,7
SO1CO3,SO1,CO3,18,Ours,A,ours,G3,0gvrmm8qbn6o1vya,bar_simple,What is the average of Season's ticket prices with a ticket price of $60 or less?,53.41,True,53.41,Yes,True,,,23641,2026-07-17T04:59:30.322Z,7,7,7
SO1CO3,SO1,CO3,19,Ours,A,ours,G3,77xb5ug5lhfmkb74,bar_stacked,What is the sum of number of employees from Europe region before 2015?,230769,True,230769,Yes,True,,,14322,2026-07-17T04:59:30.322Z,6,6,7
SO1CO4,SO1,CO4,0,B1,B,b1,G1,16fif5hdi8yzml00,bar_grouped,What is the difference between average of maximum payment in all states and average of minimum payment in all states?,7.5,True,7.5,No,False,0,"The reasoning method (average all the max. data - average of all the min. data) was appropriate, but the numbers were wrong.",111731,2026-07-17T05:08:44.794Z,6,5,5
SO1CO4,SO1,CO4,1,Ours,A,ours,G4,1a09xqtrj8zms716,bar_simple,What is the average value of top 3 malls' per sqaure foot cost?,600,True,600,Yes,True,,,51773,2026-07-17T05:08:44.794Z,7,6,7
SO1CO4,SO1,CO4,2,B2,C,b2,G2,16aphfabldrpgcmd,line_multiple,What is the sum of the number of weights exceeding 3670 in the Boys group and the number of weights exceeding 3550 in the Girls group?,8,True,8,No,False,1,"Girls who have average weight greater than 3550 was 5, not 2. ",36930,2026-07-17T05:08:44.794Z,6,5,6
SO1CO4,SO1,CO4,3,B2,C,b2,G2,66va2s35es5t86l3,line_simple,What is the year with the largest increase compared to the previous year?,2010,True,2010,Yes,True,,,20390,2026-07-17T05:08:44.794Z,7,7,7
SO1CO4,SO1,CO4,4,B1,B,b1,G1,8chfa8n079zpfigi,line_simple,How many years correspond to a value between 19 and 30?,10,False,11,Yes,False,,,58615,2026-07-17T05:08:44.794Z,7,7,7
SO1CO4,SO1,CO4,5,B3,D,b3,G3,10gtgmmgh599jnr7,line_simple,What is the difference between the second largest and the smallest values between 2000 and 2008?,0.02,True,0.02,Yes,True,,,24921,2026-07-17T05:08:44.794Z,7,7,7
SO1CO4,SO1,CO4,6,B2,C,b2,G2,0egzejn5mejtnfdm,bar_grouped,What is the difference between Scotland's largest value and England and Wales's smallest value?,12,False,26,No,True,1,"According to the question, we had to find England and Wales's smallest value, not the second smallest value.",65023,2026-07-17T05:08:44.794Z,6,5,5
SO1CO4,SO1,CO4,7,B1,B,b1,G1,11e148qcs7x70t8v,bar_stacked,in which years does south korea have a bigger value than france?,"2015, 2016, 2017, 2018, Jan-Oct 2019",False,"2016, 2017, 2018, Jan-Oct 2019",No,True,0,"The method was valid, but the answer was wrong. 2015 isn't included.",40039,2026-07-17T05:08:44.794Z,6,5,6
SO1CO4,SO1,CO4,8,Ours,A,ours,G4,2eiyyw562tcvjypp,line_multiple,How many years has Russia had higher favorability than the US?,3,False,2,No,True,2,"In 2009, the US had greater favorability than Russia. The method was valid, but the calculation was wrong.",36560,2026-07-17T05:08:44.794Z,6,5,5
SO1CO4,SO1,CO4,9,Ours,A,ours,G4,10t8o5vhethzeod1,bar_stacked,In which year was the agriculture sector the highest,2017,False,2011,No,True,1,"2011 has the tallest agriculture sector. So, the method was valid, but the calculation was wrong.",11956,2026-07-17T05:08:44.794Z,6,5,6
SO1CO4,SO1,CO4,10,B3,D,b3,G3,0xc7sx6ll8fl5rgh,bar_grouped,What is the average of the vote share at an age when Clinton received a lower vote share?,0.37,False,0.31,No,True,1,We need to average the case when Clinton is lower than Sanders only.,88669,2026-07-17T05:08:44.794Z,3,4,3
SO1CO4,SO1,CO4,11,B2,C,b2,G2,0jbrb1dcbliiampz,bar_simple,How many years had investments of over 22 Billion Euros in the years 2011 to 2014?,7,False,3,No,True,3,"The year limitation is 2011 to 2014, but the answer included years after 2014.",32472,2026-07-17T05:08:44.794Z,6,5,5
SO1CO4,SO1,CO4,12,B1,B,b1,G1,0wflwm4jebx7n12y,bar_simple,What is the difference between the average and the maximum number?,141.25,True,141.25,No,False,0,"380-230 is 150, but the answer showed up as 141.25",52269,2026-07-17T05:08:44.794Z,6,6,6
SO1CO4,SO1,CO4,13,B3,D,b3,G3,0gvrmm8qbn6o1vya,bar_simple,What is the average of Season's ticket prices with a ticket price of $60 or less?,53.41,True,53.41,No,False,1,Averaging the bars gives the answer of 53.41. Not 53.8.,41291,2026-07-17T05:08:44.794Z,6,5,6
SO1CO4,SO1,CO4,14,B3,D,b3,G3,77xb5ug5lhfmkb74,bar_stacked,What is the sum of number of employees from Europe region before 2015?,230769,True,230769,No,False,1,The calculation went wrong. But the method was valid.,52697,2026-07-17T05:08:44.794Z,7,5,6
SO1CO4,SO1,CO4,15,Ours,A,ours,G4,95yhyqjyeu4fohbj,line_simple,Is the average of the minimum and maximum values greater compared to the value in 2010?,No,True,No,Yes,True,,,34483,2026-07-17T05:08:44.794Z,7,7,7
SO1CO4,SO1,CO4,16,B3,D,b3,G3,2s65jcap9pn289qx,line_multiple,What is the sum of the differences between women and men in the last five years?,196.94,False,163.28,Yes,False,,,28092,2026-07-17T05:08:44.794Z,7,7,7
SO1CO4,SO1,CO4,17,Ours,A,ours,G4,01mksjs373fhcl4q,bar_grouped,Which sector showed the most decline?,Large companies,True,Large companies,Yes,True,,,13567,2026-07-17T05:08:44.794Z,7,7,7
SO1CO4,SO1,CO4,18,B1,B,b1,G1,1k8qhmg9rui7gtzh,line_multiple,What is the difference between the largest value in Germany and the smallest value in the U.S. between 2010 and 2015?,31,True,31,Yes,True,,,40018,2026-07-17T05:08:44.794Z,7,7,7
SO1CO4,SO1,CO4,19,B2,C,b2,G2,2bhsybiilde28j87,bar_stacked,What is the average percentage of non-black races that they answered very interested?,19%,True,19%,Yes,True,,,36448,2026-07-17T05:08:44.794Z,7,7,7
SO2CO1,SO2,CO1,0,B1,A,b1,G1,16fif5hdi8yzml00,bar_grouped,What is the difference between average of maximum payment in all states and average of minimum payment in all states?,7.5,True,7.5,Yes,True,,,38896,2026-07-18T06:03:59.986Z,6,7,7
SO2CO1,SO2,CO1,1,Ours,D,ours,G4,01mksjs373fhcl4q,bar_grouped,Which sector showed the most decline?,Large companies,True,Large companies,Yes,True,,,39452,2026-07-18T06:03:59.986Z,6,6,7
SO2CO1,SO2,CO1,2,B2,B,b2,G2,66va2s35es5t86l3,line_simple,What is the year with the largest increase compared to the previous year?,2010,True,2010,Yes,True,,,52235,2026-07-18T06:03:59.986Z,7,7,7
SO2CO1,SO2,CO1,3,B2,B,b2,G2,2bhsybiilde28j87,bar_stacked,What is the average percentage of non-black races that they answered very interested?,19%,True,19%,Yes,True,,,81150,2026-07-18T06:03:59.986Z,5,1,3
SO2CO1,SO2,CO1,4,B2,B,b2,G2,16aphfabldrpgcmd,line_multiple,What is the sum of the number of weights exceeding 3670 in the Boys group and the number of weights exceeding 3550 in the Girls group?,8,True,8,Yes,True,,,92347,2026-07-18T06:03:59.986Z,5,3,5
SO2CO1,SO2,CO1,5,Ours,D,ours,G4,95yhyqjyeu4fohbj,line_simple,Is the average of the minimum and maximum values greater compared to the value in 2010?,No,True,No,Yes,True,,,46162,2026-07-18T06:03:59.986Z,5,4,5
SO2CO1,SO2,CO1,6,Ours,D,ours,G4,10t8o5vhethzeod1,bar_stacked,In which year was the agriculture sector the highest,2017,False,2011,No,True,1,"The answer needs to be 2011, since 2011 had 35%.",50515,2026-07-18T06:03:59.986Z,7,7,2
SO2CO1,SO2,CO1,7,B3,C,b3,G3,0xc7sx6ll8fl5rgh,bar_grouped,What is the average of the vote share at an age when Clinton received a lower vote share?,0.37,False,0.31,No,True,1,"As I calculated, the answer needs to be 0.31 since we are averaging 0.16, 0.32 and 0.45.",157264,2026-07-18T06:03:59.986Z,3,7,2
SO2CO1,SO2,CO1,8,B2,B,b2,G2,0jbrb1dcbliiampz,bar_simple,How many years had investments of over 22 Billion Euros in the years 2011 to 2014?,7,False,3,Yes,False,,,35115,2026-07-18T06:03:59.986Z,6,3,6
SO2CO1,SO2,CO1,9,B3,C,b3,G3,77xb5ug5lhfmkb74,bar_stacked,What is the sum of number of employees from Europe region before 2015?,230769,True,230769,Yes,True,,,335023,2026-07-18T06:03:59.986Z,5,1,5
SO2CO1,SO2,CO1,10,Ours,D,ours,G4,1a09xqtrj8zms716,bar_simple,What is the average value of top 3 malls' per sqaure foot cost?,600,True,600,Yes,True,,,23111,2026-07-18T06:03:59.986Z,7,7,7
SO2CO1,SO2,CO1,11,B3,C,b3,G3,10gtgmmgh599jnr7,line_simple,What is the difference between the second largest and the smallest values between 2000 and 2008?,0.023,True,0.023,No,False,0,The question is asking the second largest which is 0.106 (2006). Therefore the answer needs to be 0.020.,85766,2026-07-18T06:03:59.986Z,7,7,3
SO2CO1,SO2,CO1,12,B2,B,b2,G2,0egzejn5mejtnfdm,bar_grouped,What is the difference between Scotland's largest value and England and Wales's smallest value?,12,False,26,No,True,1,"The question is asking about England and Wales's smallest value, 2nd step states second-lowest. Therefore, the answer is wrong, should have been 28-2=26.",34583,2026-07-18T06:03:59.986Z,4,3,1
SO2CO1,SO2,CO1,13,B3,C,b3,G3,0gvrmm8qbn6o1vya,bar_simple,What is the average of Season's ticket prices with a ticket price of $60 or less?,53.41,True,53.41,Yes,True,,,52649,2026-07-18T06:03:59.986Z,7,7,7
SO2CO1,SO2,CO1,14,B3,C,b3,G3,2s65jcap9pn289qx,line_multiple,What is the sum of the differences between women and men in the last five years?,196.94,False,163.28,No,True,0,"The system took 6 years, instead of 5 years. The answer needs to be 163.28.",190423,2026-07-18T06:03:59.986Z,5,5,2
SO2CO1,SO2,CO1,15,B1,A,b1,G1,1k8qhmg9rui7gtzh,line_multiple,What is the difference between the largest value in Germany and the smallest value in the U.S. between 2010 and 2015?,31,True,31,Yes,True,,,36065,2026-07-18T06:03:59.986Z,6,6,6
SO2CO1,SO2,CO1,16,B1,A,b1,G1,8chfa8n079zpfigi,line_simple,How many years correspond to a value between 19 and 30?,10,False,11,No,True,0,"I think filtering the table first for values between 19 and 30, and then counting the data points would have been better. The answer needed to be 11.",84367,2026-07-18T06:03:59.986Z,3,7,2
SO2CO1,SO2,CO1,17,Ours,D,ours,G4,2eiyyw562tcvjypp,line_multiple,How many years has Russia had higher favorability than the US?,3,False,2,No,True,1,"For the year 2009, the system thought Russia had higher values, but it was not correct. The answer needed to be 2.",56508,2026-07-18T06:03:59.986Z,5,6,3
SO2CO1,SO2,CO1,18,B1,A,b1,G1,0wflwm4jebx7n12y,bar_simple,What is the difference between the average and the maximum number?,141.25,True,141.25,Yes,True,,,95365,2026-07-18T06:03:59.986Z,5,5,6
SO2CO1,SO2,CO1,19,B1,A,b1,G1,11e148qcs7x70t8v,bar_stacked,in which years does south korea have a bigger value than france?,"2015, 2016, 2017, 2018, Jan-Oct 2019",False,"2016, 2017, 2018, Jan-Oct 2019",No,True,0,"In 2015, France has higher value with France being 0.29 and South Korea being 0.25.",41716,2026-07-18T06:03:59.986Z,3,5,2
SO2CO2,SO2,CO2,0,B3,C,b3,G4,10t8o5vhethzeod1,bar_stacked,In which year was the agriculture sector the highest,2017,False,2011,No,True,1,2011 is the highest,47107,2026-07-19T02:35:40.133Z,6,6,6
SO2CO2,SO2,CO2,1,B3,C,b3,G4,01mksjs373fhcl4q,bar_grouped,Which sector showed the most decline?,Large companies,True,Large companies,Yes,True,,,36532,2026-07-19T02:35:40.133Z,7,7,7
SO2CO2,SO2,CO2,2,B2,B,b2,G3,0xc7sx6ll8fl5rgh,bar_grouped,What is the average of the vote share at an age when Clinton received a lower vote share?,0.37,False,0.31,No,True,1,The age group of the lowest group is 18-29 (0.16),209582,2026-07-19T02:35:40.133Z,3,4,4
SO2CO2,SO2,CO2,3,B1,A,b1,G2,66va2s35es5t86l3,line_simple,What is the year with the largest increase compared to the previous year?,2010,True,2010,Yes,True,,,58903,2026-07-19T02:35:40.133Z,6,7,7
SO2CO2,SO2,CO2,4,Ours,D,ours,G1,11e148qcs7x70t8v,bar_stacked,in which years does south korea have a bigger value than france?,"2015, 2016, 2017, 2018, Jan-Oct 2019",False,"2016, 2017, 2018, Jan-Oct 2019",Yes,False,,,116428,2026-07-19T02:35:40.133Z,7,7,7
SO2CO2,SO2,CO2,5,B3,C,b3,G4,95yhyqjyeu4fohbj,line_simple,Is the average of the minimum and maximum values greater compared to the value in 2010?,No,True,No,No,False,2,The value in 2010 is bigger.,58724,2026-07-19T02:35:40.133Z,5,6,7
