participant_code,order_system,order_chart,system,system_label,ps_trust,ps_usefulness,ps_transparency,ps_tlx_mental,ps_tlx_temporal,ps_tlx_performance,ps_tlx_effort,ps_best_aspect,ps_tlx_effort_reason,ps_tlx_mental_reason,ps_tlx_performance_reason,ps_tlx_temporal_reason,ps_transparency_reason,ps_trust_reason,ps_usefulness_reason,ps_worst_aspect
SO1CO3,SO1,CO3,B2,C,7,7,7,1,1,7,1,"It's amazing that every time you go into each pace, the answer narrows down","The explanation was presented step by step, so it was easier to understand and reach the result","The explanation was presented step by step, so it was easier to understand and reach the result","The explanation was presented step by step, so it was easier to understand and reach the result","The explanation was presented step by step, so it was easier to understand and reach the result","The explanation was presented step by step, so it was easier to understand and reach the result","The explanation was presented step by step, so it was easier to understand and reach the result","The explanation was presented step by step, so it was easier to understand and reach the result",nothing
SO1CO3,SO1,CO3,B3,D,7,7,7,1,1,7,1,the clear and easy to understanding explanations,"The explanation was clear and easy to understand, so i dont needed to woork hard to understanding",It was good to narrow down the inference by step so that it was easy to understand so it wasnt mentally demanding,The explanation was clear and easy to understand,"When I narrowed the scope of reasoning in turn, I didn't work hard to reach the answer

",It was good to narrow down the inference by step so that it was easy to understand,It was so intuitive and easy to understand that it was easy to get to my reasoning,It was good to narrow down the inference by step so that it was easy to understand,nothing
SO1CO4,SO1,CO4,Ours,A,6,7,6,3,3,6,1,"The explanation part was short, and the graph was intuitively moving according to the explanations.",I could easily get along with the explanation.,"As mentioned before, the explanations were short, so they weren't mentally demanding.","I could easily follow the steps, with a decent amount of understanding.","Explanations were short, so I could spend enough time reading it.",System A mostly got the answer right.,Explanations were intuitive and direct.,"Explanations were mostly short, easy to understand.",Nope.
SO1CO4,SO1,CO4,B1,B,6,7,6,5,3,6,2,It seemed to provide short steps to get to answer.,"I didn't have to think or doubt much about the explanation, so I didn't work hard.","Since the graphs didn't move with the click like in other systems, it was a bit difficult for me to read the text.","Steps provided were short and intuitive, so I successfully understood what they wanted me to do.","Since the explanations weren't long, about 2-3 sentences, I wasn't in a rush at all.",The explanations showed what steps I need to take to get the answer without unnecessary details.,"Since the computer didn't do the calculation part - they're just giving steps for the answer, and I'm eventually the one who does the computing - I could trust the results that came out from me.","Explanations were not that long, so I could read through them and start off with the computing.",Nope
SO1CO4,SO1,CO4,B2,C,5,6,5,5,2,6,3,The graphic(with the graph) was the most intuitive among all the systems.,"I didn't have to think that much; the explanation did that part, so I didn't have to work hard to understand.","There were long, detailed explanations, so it was a bit mentally demanding to match the explanation and the graph.","Since the explanations showed the thinking process, they weren't hard to understand.","Since I could click and match the explanation and the graph, I wasn't rushed at all. I had time to check whether the system is doing well.",The explanation logic sometimes made mistakes.,"Mostly, but sometimes the explanation logic was wrong - so I had to think twice.",Explanations required 3 steps and quite in length.,Hope the system could match the logic and the original question before making the explanation logic.
SO1CO4,SO1,CO4,B3,D,2,2,3,5,6,4,5,The explanations are in detail.,I had to consciously try to understand the texts.,"Since the question was quite long, it was a bit mentally demanding.","I could eventually understand the explanation, but it took time.","Since the explanations were, I sometimes skipped some of them, honestly, in a rush.",The steps provided by the explanations were mostly irrelevant to the original questions.,The answer and the answer in the explanations were frequently unmatched.,The explanations were too long.,"Hope the texts can be shortened, and the logic can be more trustworthy."
SO2CO1,SO2,CO1,B1,A,3,3,5,7,1,5,6,There is nothing! ,It was mentally demanding to read as text.,"I think reading the table values, and then reading the explanations from this system was really mentally demanding.","Mostly, I understand.",I didn't felt rushed.,They were transparent and explained the steps with text.,"Personally, I liked it better to see what the model did step by step, rather than reading it as a text. So I felt more control in other systems with visualizations. Also, this system's answer tended to be wrong. ","Personally, I found this system not very useful. Reading as a text made it harder to grasp the steps. ",More visualizations can be added. and also it might be more readable.
SO2CO1,SO2,CO1,B2,B,4,5,3,3,1,6,2,"Best thing was the first visualization and emphasizing the important interval and values, and then showing the result with a table or figure.",It was easy to understand.,I think this explanation was not that mentally demanding.,I understand easily.,I didn't feel rushed.,"As far as I remember, explanations from this system, had some issues such as overlapping, not easy to read.","As far as I remember, the answer from this systems were mostly correct, but this system make mistakes when filtering the correct years or intervals, which made me think that this system can't catch what is actually wanted from the question.",The visualizations were useful.,"I think if this system understand the question better, and if the issues with transparency (overlapping/not readable) is solved, it would be better. "
SO2CO1,SO2,CO1,B3,C,5,5,5,6,2,3,6,I think first step is good! ,I had to work hard to understand especially second step/,"Yes, especially second step results were hard to understand. I tried to figure out what is going on. ",It took some time to figure out what was happening.,I didn't feel rushed.,"As far as I remember, they were transparent!",As far as I remember this system answered correctly mostly.,"I liked the first step of this system, but I think this system struggled at second step when answering the question. Also, the second step results were hard to grasp.","If second step improved to be more clear and understandable, it would be better!"
SO2CO1,SO2,CO1,Ours,D,7,6,7,2,2,6,3,I liked it is simple and easy to understand. I liked that it provides animation like differences between values. ,It was easy to understand.,I think understanding was not that mentally demanding.,It was easy to understand. ,I didn't feel rushed. ,"yes, they were transparent.",I mostly trusted this system because it mostly gave the correct steps (like filtering) and answers.,I think explanations were useful! I liked the animation effect of showing step by step what kind of calculations were happening.,Not sure. I think it was good! 
SO2CO2,SO2,CO2,B1,A,6,6,7,5,5,3,5,The calculation process was transparent so that I could fasten the process.,It took time to understand the question itself.,I had to suspect if the answer is correct.,It took time to understand the question itself.,I felt like I had to get the answer quickly and go to the next step.,It shows the whole calculation process.,I thought the explanation was correct.,I didn't have to think a lot because of the explanation.,It would be nice to add visual components like other systems.
SO2CO2,SO2,CO2,B2,B,7,7,6,2,2,7,3,Intuitive visual effects. They were very useful to me.,The system already does calculations for me before I think.,It already shows what I had to think about and summarizes the results.,"Especially, calculating the average value was easy to understand.",I was able to quickly verify the answer and go to the next question.,It simplifies the data on charts.,The visual explanation was intuitive. It shows the information that I needed to get the answer.,It helped me to decide if the answer is correct or not.,Nothing much.
SO2CO2,SO2,CO2,B3,C,7,7,6,3,2,5,5,It highlights the part I needed to see from the explanation.,There were some explanations that I was not able to understand directly.,Not too difficult to understand.,Visual highlighting helped me understand the explanation.,I thought that I could verify the answer quickly and easily.,It shows all of the process I needed to see.,I trusted this system as it shows.,It shows the information I wanted to see to verify the answer.,It would be nice to visually distinguish even if there are not that big differences.
SO2CO2,SO2,CO2,Ours,D,7,7,7,2,1,7,2,"It highlights the part I needed to see, and shows the value I needed the see",I felt no difficulty seeing the explanations,The aggregation and average calculation process was transparent.,The system makes it easy for me to understand,I trusted this system.,It shows the information I needed to see.,The calculation process was transparent.,I didn't really have to do much to verify the answer.,Nothing much.
