"#","chart_type","chart_id","all_id","question","explanation","operation_spec","computed_answer"
"236",simpleBar,"1hlsoeyqlr1r1n41","bar_simple_1hlsoeyqlr1r1n41","How many regions have the smaller revenue than the average of revenue across regions except for the one with the highest revenue?","1. Filter out the region which has the highest revenue.
2. Calculate the average of the revenue for those regions.
3. Count the regions which have a smaller revenue than the average.","{""ops"":[{""op"":""findExtremum"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""which"":""max"",""field"":""Revenue in million US dollars""}],""ops2"":[{""op"":""filter"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Revenue in million US dollars"",""operator"":""<"",""value"":""ref:n1""},{""op"":""average"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n2""],""sentenceIndex"":2},""field"":""Revenue in million US dollars""}],""ops3"":[{""op"":""filter"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n2"",""n3""],""sentenceIndex"":3},""field"":""Revenue in million US dollars"",""operator"":""<"",""value"":""ref:n3""},{""op"":""count"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n4""],""sentenceIndex"":3}}]}","2.0"
"221",simpleBar,"1gdzafocxmz7rswi","bar_simple_1gdzafocxmz7rswi","How many years have the lower traffic in petabytes than the difference of two biggest traffics in petabytes.","1. Find two biggest traffics in year.
2. Get the difference of those values.
3. Count the years which have a lower traffic than the difference.","{""ops"":[{""op"":""findExtremum"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""which"":""max"",""rank"":1,""field"":""Traffic in petabytes per month""},{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[],""sentenceIndex"":1},""which"":""max"",""rank"":2,""field"":""Traffic in petabytes per month""},{""op"":""diff"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1"",""n2""],""sentenceIndex"":2},""targetA"":""ref:n1"",""targetB"":""ref:n2"",""signed"":false}],""ops3"":[{""op"":""filter"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":3},""field"":""Traffic in petabytes per month"",""operator"":""<"",""value"":""ref:n3""},{""op"":""count"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n4""],""sentenceIndex"":3}}]}","4.0"
"36",groupedBar,"0gacqohbzj07n25s","bar_grouped_0gacqohbzj07n25s","What is the difference between the average of surgical values in European countries and the average of surgical values in Asian countries?","1. European countries identified
2. Obtain the average of the surgical values of European countries
3. Check out Asian countries
4. Find the average of the surgical values of Asian countries
5. Subtract smaller values from larger values","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Country"",""include"":[""Germany"",""France"",""Italy""],""group"":""Surgical""},{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""field"":""Number of procedures""}],""ops2"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":2},""field"":""Country"",""include"":[""Japan"",""India"",""Turkey""],""group"":""Surgical""},{""op"":""average"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":2},""field"":""Number of procedures""}],""ops3"":[{""op"":""diff"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n2"",""n4""],""sentenceIndex"":3},""targetA"":""ref:n2"",""targetB"":""ref:n4"",""signed"":false}]}","8176.0"
"13",groupedBar,"0rfuaawgi58ajpsv","bar_grouped_0rfuaawgi58ajpsv","What is the difference in the average between North America and Latin America?","1. Get the average of Northern America
2. Get the average of Latin America
3. Get the difference between the two average values","{""ops"":[{""op"":""average"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Media rights revenue in billion US dollars"",""group"":""North America""}],""ops2"":[{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[],""sentenceIndex"":2},""field"":""Media rights revenue in billion US dollars"",""group"":""Latin America""}],""ops3"":[{""op"":""diff"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1"",""n2""],""sentenceIndex"":3},""targetA"":""ref:n1"",""targetB"":""ref:n2"",""signed"":true}]}","8.422"
"31",groupedBar,"0egzejn5mejtnfdm","bar_grouped_0egzejn5mejtnfdm","What is the difference between Scotland's largest value and England and Wales's smallest value?","1. Check Scotland's Biggest Value
2. Check the smallest value for England & Wales
3. Check if the value is greater than the value of number 1 or number 2
4. Subtract small value from large value
","{""ops"":[{""op"":""findExtremum"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""which"":""max"",""field"":""SharePercentage"",""group"":""Scotland""}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[],""sentenceIndex"":2},""which"":""min"",""field"":""SharePercentage"",""group"":""England & Wales""}],""ops3"":[{""op"":""diff"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1"",""n2""],""sentenceIndex"":3},""targetA"":""ref:n1"",""targetB"":""ref:n2"",""signed"":false}]}","26.0"
"150",groupedBar,"1hokbw2gmzar9ye8","bar_grouped_1hokbw2gmzar9ye8","What's the difference between women over 60 and men under 40?","Find the percentage of women over 60 years old.
Find and add percentage values for men under 40.
Subtract two values.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Group"",""include"":[""Women""]},{""op"":""retrieveValue"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""target"":""60 years and over"",""field"":""Percentage of adults""}],""ops2"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":2},""field"":""Group"",""include"":[""Men""]},{""op"":""retrieveValue"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":2},""target"":""18 to 39 years"",""field"":""Percentage of adults""}],""ops3"":[{""op"":""diff"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n2"",""n4""],""sentenceIndex"":3},""targetA"":""ref:n2"",""targetB"":""ref:n4"",""signed"":false}]}","0.427"
"43",stackedBar,"0gzowodb2py0d1s9","bar_stacked_0gzowodb2py0d1s9","How many years did Thailand's revenue exceed that of the Philippines'?","1. Filter for the revenue of Thailand and the Philippines
2. Compare the revenue of Thailand and the Philippines
3. count the years for which Thailand's revenue was higher.","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""by"":""Year"",""groupA"":""Thailand"",""groupB"":""Philippines"",""seriesField"":""Country_Region"",""field"":""Revenue_Million_USD""}],""ops2"":[{""op"":""filter"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Revenue_Million_USD"",""operator"":"">"",""value"":0}],""ops3"":[{""op"":""count"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n2""],""sentenceIndex"":3}}]}","2.0"
"204",stackedBar,"bnil22qu3wwatrc7","bar_stacked_bnil22qu3wwatrc7","According to this chart, what is the difference between the average number of ""A better place to live"" opinion of Western Europe and the rest?","1. Define Western Europe: Netherlands, Germany, UK, France
2. Find the average number of ""A better place to live"" opinion of Western Europe and the rest.
3. Find the difference of the two numbers","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Country"",""include"":[""Netherlands"",""Germany"",""UK"",""France""],""group"":""A better place to live""},{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""field"":""Percentage""}],""ops2"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":2},""field"":""Country"",""include"":[""Greece"",""Hungary"",""Italy"",""Poland"",""Spain"",""Sweden""],""group"":""A better place to live""},{""op"":""average"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":2},""field"":""Percentage""}],""ops3"":[{""op"":""diff"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n2"",""n4""],""sentenceIndex"":3},""targetA"":""ref:n2"",""targetB"":""ref:n4"",""signed"":false}]}","4.5"
"130",stackedBar,"240rurpp2arislnt","bar_stacked_240rurpp2arislnt","Find the difference between the response with the smallest percentage in the youngest group and the response with the highest percentage in the oldest group","1. Sort the share values in 18-29 age group
2. Find the minimum value of them
3. Sort the share values in 65+ age group
4. Find the maximum value if them
5. Get the difference between youngest group's minimum value and oldest group's maximum value","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Age Group"",""operator"":""=="",""value"":""18–29""},{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""which"":""min"",""field"":""Share of respondents""}],""ops2"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":2},""field"":""Age Group"",""operator"":""=="",""value"":""65+""},{""op"":""findExtremum"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":2},""which"":""max"",""field"":""Share of respondents""}],""ops3"":[{""op"":""diff"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n2"",""n4""],""sentenceIndex"":3},""targetA"":""ref:n2"",""targetB"":""ref:n4"",""signed"":false}]}","51.0"
"211",stackedBar,"c3mncg8r4g6bjoon","bar_stacked_c3mncg8r4g6bjoon","Is Germany has higher share of respondents in Gasoline or diesel compared to the average of rest of the countries?","1. Calculate the average of the share of respondents in Gasoline or diesel of other countries.
2. Compare the average value acquired from the previous step and the value of Germany in Gasoline and diesel.","{""ops"":[{""op"":""retrieveValue"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""target"":""Germany"",""field"":""Share of respondents"",""group"":""Gasoline or diesel (ICE)""}],""ops2"":[{""op"":""filter"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[],""sentenceIndex"":2},""field"":""Country"",""operator"":""!="",""value"":""Germany"",""group"":""Gasoline or diesel (ICE)""},{""op"":""average"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n2""],""sentenceIndex"":2},""field"":""Share of respondents""}],""ops3"":[{""op"":""compareBool"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n1"",""n3""],""sentenceIndex"":3},""operator"":"">"",""targetA"":""ref:n1"",""targetB"":""ref:n3""}]}","1.0"
