chart_id,chart_type,ours_correct,baseline_correct,true_answer,gold_looks_wrong,note
0lua5jsw92d3enb4,bar_grouped,1,1,,0,
0iv07908ph6y6ifj,bar_simple,1,1,,0,
1jabqwjz9pmd7qwz,line_simple,1,1,,0,
1sf5c8wqw1192q6b,line_simple,1,1,,0,
1vh62ks9wweck6m2,line_multiple,1,1,,0,
0jbrb1dcbliiampz,bar_simple,1,1,,0,
0ufvwi9xv37e597q,bar_stacked,1,0,2018/19 (gap of 59.4 = |92.5 - 151.9| between Matchday and Commercial),0,"Ours returns 2018/19 (59.4) matching gold; baseline's two-filter pairDiff yields empty/null, no answer."
0oinwvo88bvvs25b,bar_grouped,1,1,0.03 (Women max 0.37 - Men max 0.40 = -0.03; magnitude 0.03),0,"Women max 0.37, Men max 0.40; diff magnitude 0.03; both ours/baseline -0.03 correct under sign convention, auto-WRONG is just a sign mismatch."
1vni31fp2ii7wz68,line_simple,0,0,"2020 (its biggest month-to-month drop was -2.00 May'20→Jun'20, larger than 2021's biggest drop of -0.25 Apr'21→May'21)",1,"Question wants the year with the largest within-year drop (=2020); ours/gold return May'21 (2021) with -6.61 (overall change, no per-year grouping); baseline returns compareBool 0.0, not a year."
20gpvz4ylu4olrm7,line_multiple,0,0,9.0,0,"True avg of (Women-Men) over 2000/2004/2008/2012 = (12+7+7+10)/4 = 9.0; gold=9.0 correct, ours=8.6667 (averaged only 3 diffs), baseline=NaN."
0k7bm9iqewnrzj47,bar_simple,1,0,Yes/True — top-3 avg 345.93 > 2×bottom-3 avg (2×165.2=330.4),0,Ours=1.0 (True) matches; baseline=0.0 (False) is wrong since 345.93 > 330.4; gold=1.0 correct.
0vfqjaxeiv96ww7g,bar_stacked,1,1,"16 (Black 26 − White 10 in the ""Almost all of the time"" segment); gold's 11 uses a two-segment ""Almost all""+""Most of the time"" reading (42 vs 53)",0,"Ambiguous ""more than most of all time"": ours/baseline use the ""Almost all of the time"" segment (26−10=16) matching the explanation's stated method; gold's 11 is a valid alternative summing two segments, so all three are defensible."
0opt5fjw2xphdgp2,bar_grouped,0,0,"White (Occasionally 0.4 + Infrequently 0.48 = 0.88, the highest per-group sum)",0,Both summed across all groups (ours=1.71 Occasionally-only total; baseline=3.23 both-category grand total) instead of per-group sums; correct answer is White at 0.88.
25gpdzxh8nu0c0vf,line_simple,0,1,Median is bigger (median=183 > average=171.57); compareBool average>median = false/0,0,Median 183 > avg 171.57; gold/baseline return 0 (avg>median false) = correct; ours sort wrongly input n1 (avg scalar) yielding empty result.
20qa83ih1gn6toqt,line_multiple,1,1,,0,
0baf5ch9y4z8914p,bar_simple,0,0,"2.46 (three lowest rates 2.38, 2.5, 2.5 -> 7.38/3 = 2.46)",0,Ours averaged all 9 bars (3.3656) instead of the nth subset; baseline mis-wired scale to get 0.7933; gold's 2.46 matches my computation.
01h0jkno5l7jola8,bar_grouped,1,1,,0,
0cjk67q39ee6dhzj,line_multiple,0,0,"2 years (2010 with largest gap 19, minus 2008 with smallest gap 5). Note: gold/baseline compute the gap-value difference 19-5=14 instead.",1,"Question/explanation ask for the YEAR difference (2010-2008=2); gold & baseline return 14 (gap-value diff 19-5), ours returns 0 (two min extrema diffed to zero) — all wrong vs intended year difference."
01mksjs373fhcl4q,bar_grouped,0,1,"Large companies (decline of 4.3 = 9.5 - 5.2), the largest drop among sectors",0,"Ours used findExtremum which=min on positive declines, picking smallest drop (Offices 0.8) instead of largest (Large companies 4.3); baseline and gold correct."
04xwv56n37ybj8zr,line_simple,0,1,,0,
0cymcilknp8krjwz,line_simple,0,1,,0,
0abj8blv663ussbr,bar_simple,1,1,,0,
0cad2xfrwdgvo9zk,bar_simple,1,1,,0,
0gr1c2jcthc8h9f6,line_simple,1,0,"1.42 (6.17 - 4.75) using extremum from each set; 1.22 (5.97 - 4.75) is also valid since ""one score"" from set A is ambiguous",0,"Set A (5.8-6.2)={5.97,6.17}, Set B(<4.8)={4.75}; ours=1.42 valid, baseline=1.03 uses 5.78 (2015, below 5.8, not in set) so wrong."
001dao0mq0pplbzj,bar_stacked,1,1,,0,
0a5npu4o61dz4r5f,bar_simple,1,1,,0,
07lo3vvwztz32ifq,bar_grouped,0,0,0.35 (Latin America 0.09+0.12=0.21 has the largest |diff|=0.03; Developing EMEA 0.07+0.07=0.14 has the smallest |diff|=0.00; sum of their Net_Sales values = 0.35),1,"Ours summed all signed pairDiffs = 0.0 (wrong); gold returned 0.03 (max+min diff values), contradicting its own explanation which yields 0.35."
075i5mfewy2uvwej,bar_stacked,1,1,,0,
08x3crju85yix5ab,line_simple,1,0,5,0,"5 years have CPI_Score < 80 (2012,2013,2014,2019,2020); ours=5 correct, baseline=1 wrong (double count collapses scalar to 1)."
004fhteah0l9kud2,bar_stacked,1,1,,0,
0bunvsqd54e3qahz,line_multiple,1,1,,0,
0bgcjlbz7nv5vnjc,bar_grouped,0,0,"1.4667 (average of three largest per-period absolute gaps: 2.1, 1.3, 1.0)",0,"True avg=1.4667; gold matches; ours=NaN (correct filter but failed exec); baseline=0.1, both wrong."
08iur64i01boakg5,line_multiple,1,1,,0,
05qg5ubxklojfze7,bar_stacked,0,0,"Anxiety and depression (Major 0.7 + Minor 0.26 = 0.96, the highest combined Major+Minor sum)",0,Both summed all Major+Minor shares globally (6.98) instead of per-Problem; neither identifies Anxiety and depression (0.96) as the max category.
0b9o2vahkw2a1bxy,line_multiple,1,0,"19 (highest No = 2015:46; third-highest Yes = 2014:65; 46-65 = -19, absolute 19)",0,"True answer ±19; ours=-19 correct under sign convention, baseline=47 is the wrong number, gold=19 matches."
0v0l4wdbx7orkqz1,bar_simple,1,1,,0,
14jud3ymyoonba4e,bar_stacked,0,1,"Global Nutritionals (total 9678.1 across all years, the largest sector)",0,"Ours summed all sectors together (20142.2) instead of comparing per-sector; baseline's 9678.1 matches Global Nutritionals, the winning sector."
0vw6ydim9cff8ji6,bar_grouped,1,1,,0,
5lhrulhnl0io2r81,line_simple,1,1,,0,
2hjkdo5w242alvjd,line_multiple,0,1,"Yes — 2006–2011 spans 6 years vs 3 years where Satisfied>Dissatisfied (2006, 2011, 2012); 6 > 3 is true.",0,"Ours n5 wired to n1 (not n4), so it compares 6>6=false; baseline compares 12>3=true matching the true ""yes"" outcome."
0vmvmj77j3p6vcy7,bar_simple,1,1,,0,
174uq759pluu079w,bar_stacked,1,0,,0,
0w5jptak9peti0mj,bar_grouped,1,0,6 (APAC is the lowest of the three regions in all six years 2015-2020),0,APAC is lowest every year (6); ours value 6.0 matches (via count of APAC rows = 6); baseline produced no spec.
5po479f2ju9lqv16,line_simple,1,1,,0,
2kmpy10btl65kr2j,line_multiple,1,1,,0,
0vqxnzu0mpbz12ch,bar_simple,1,0,,0,
19xwo5oscmgpcdyl,bar_stacked,0,0,~91.14 (Gas avg for years where Coal>0.2: (105+96+122+109+50+57+99)/7 = 638/7 ≈ 91.14),0,Both returned NaN (cross-group filter Coal>0.2 then avg Gas mis-wired); true answer ≈91.14; gold has no spec.
0wgqpso2vnilpym6,bar_grouped,0,0,,0,
651x1l1swysyy6vp,line_simple,0,0,"5th highest value = 78, on ""Apr 28 to 29, 2020"" (tied with ""Oct 29, 2020"" at 78)",1,"True 5th-highest is 78 (Apr 28 to 29, 2020); gold/baseline give 62, ours gives 69 — all wrong; auto labels graded against the wrong gold."
2s65jcap9pn289qx,line_multiple,0,1,,0,
0vvz9mdgdiazke5o,bar_simple,1,1,,0,
19msoowya2szdynd,bar_stacked,0,0,"0 (no Coal/Gas/Oil sectors exist in the data; only Agriculture/Industry/Services, so the qualifying-year set is empty and the Coal sum is 0)",0,"All three systems produced no spec (exists=false); question references nonexistent Coal/Gas/Oil fields, true answer is 0."
0xc7sx6ll8fl5rgh,bar_grouped,0,0,"0.31 (mean of Clinton's vote shares for the 3 ages where Clinton < Sanders: 0.16, 0.32, 0.45)",1,True=0.31; gold -0.3667 averaged signed diffs not Clinton values; baseline 0.3675 averaged Clinton over all 4 ages not the 3 selected; ours empty.
66va2s35es5t86l3,line_simple,1,0,"2010 (largest year-over-year increase of 15.0, from 35.7 in 2000 to 50.7 in 2010)",0,"Largest lagDiff is 15.0 at 2010; ours=2010/15.0 correct, baseline=1980/4.9 (took first/min diff) wrong."
3tc31k5k2o6wmvyp,line_multiple,0,0,5,0,"Per-date Rep+Dem sums: 58,43,47,61,66 are <70 and only Jul 14 (72) is not, so 5 dates; both systems returned 0 by mis-grouping (sum by candidate not by date), so both incorrect; gold absent."
12sdcc2xjltg7qj2,bar_grouped,1,1,,0,
72yqb8jwj9a6g4nx,line_simple,1,1,,0,
6al86e9qyokma74i,line_simple,1,0,5,0,Avg=1989.375; 5 years below (2008-2012). Ours=5 correct; baseline=7 wrong (filter wired to diffByValue node n2 not original data).
724mfnyk34kp97le,line_simple,1,1,,0,
1q3mzgt77lwo172f,bar_stacked,0,0,2011 (absolute difference 9.8: 24.8 vs 15.0),0,"Gold correct (2011, 9.8); ours and baseline both produced empty/null results so neither yields the answer."
0xo3r87obscjsktm,bar_simple,1,1,2.92 times (1110 / 380 = 2.9211),0,"Ukraine-ElSalvador=1110, Denmark-ElSalvador=380, 1110/380=2.9211; both ours and baseline match; gold absent."
0ykydh8vao50ceou,bar_grouped,0,0,Direct writing (range 0.009 = 0.200 - 0.191),0,All three systems exists=false (no spec); true answer is Direct writing with the largest range 0.009.
4p1m4tsmzmtvsrys,line_multiple,0,0,"11 (Obama higher on 12 days, Romney higher on 1 day; 12 - 1 = 11)",0,"Obama>Romney on 12 dates, Romney>Obama on 1; diff=11 matches gold; ours/baseline both返回 0."
0wflwm4jebx7n12y,bar_simple,0,1,141.25 (max 380 minus average 238.75),0,"Ours averaged only the extremum (input n1) yielding 380, so diff=0; baseline and gold correctly average all 16 values for 141.25."
21fa7gb8l1ix6yfm,bar_stacked,1,0,Text messaging (difference 0.42),0,"Max |EVERY DAY - LESS OFTEN| = Text messaging 0.42; ours matches, baseline returned empty/null."
0zjxkqy20iibpdvo,bar_grouped,0,0,~-0.046 (avg Female 0.487 on Male-higher platforms minus avg Male 0.5325 on Female-higher platforms; abs ~0.046 / ~4.6pp),0,"True diff ~-0.046; both ours and baseline executed to NaN, so neither produced the correct number; gold has no spec."
0xnim79vztf8hjor,bar_simple,1,1,,0,
0w88bu7qm4ilsqmh,bar_simple,1,1,,0,
0yx2080f08329xxb,bar_grouped,1,1,,0,
3z678inbp0t89ahu,line_multiple,1,1,,0,
3un2wyjae3ebkncl,line_multiple,0,0,"22.4 (Internet values for qualifying years 2003-2007: 20,24,20,24,24; sum=112, count=5)",0,Ours returned 0.0 (broken: filters Internet against sum ref:n1 and counts) vs true avg 22.4; gold and baseline produced no spec.
1xz4egh52kvh2xwx,bar_stacked,1,1,,0,
7272hodb02i6e09q,line_simple,0,0,0.03 (max before 2014 = 2.76; max after 2014 = 2.73; 2.76 - 2.73 = 0.03),0,"Both ours and baseline used between[2014,2019] for ""after 2014"", wrongly including 2014 (2.75), yielding 0.01 instead of 0.03; gold's strict >2014 gives correct 0.03."
1y6itl6f2ho959ec,bar_stacked,1,0,1 (only Peru: Approves 0.17>0.16 and Disapproves 0.71>0.68),0,"Count countries with Approves>0.16 AND Disapproves>0.68 = 1 (Peru); ours=1 correct, baseline=0 wrong, gold absent."
4ldjaoujpydpkbu5,line_multiple,0,0,4,0,Avg abs diff ~0.274; 4 years (2009-2012) exceed it = 4 (gold correct); baseline used signed/non-absolute diff so filter>avg yields 0 (wrong); ours has no spec.
221xwpab655f7g8x,bar_stacked,1,1,,0,
23an1hozb7myw4e2,bar_stacked,1,1,,0,
4wqpl5jrdmc75go3,line_multiple,0,0,,0,
74p313e1n8rzkfzp,line_simple,1,0,"Largest adjacent difference is 15, at the 16-17→18-19 pair (target group 18-19; values 45→60).",0,"Ours: 15 @18-19 (correct); baseline's extra nth ops returned 14 @""70 and older"" (the last diff, not the max)."
7mgydgux0ay0flv4,line_simple,1,1,,0,
4pi1e6ev8e0zobww,line_multiple,1,1,,0,
1gb8sqnptdsdvagz,bar_grouped,1,1,"Any of Hollywood (0.35), Standard bikini line (0.15), or Full bikini line (0.10) — all have Under 30s share >= 10%. A single valid answer is Hollywood.",0,"Question asks for one Under 30s type with share >=10%; both return Hollywood (0.35), a valid qualifying type."
4vcdm7lwwlgdd0h1,line_multiple,1,1,,0,
1hm2mi3o0ejxp7tn,bar_grouped,1,1,,0,
240rurpp2arislnt,bar_stacked,0,1,51 (57 max in 65+ minus 6 min in 18-29),0,"Ours returns NaN because ops2 filter chains off n1 (already 18-29), so 65+ filter is empty; baseline=51 matches gold/computed 51."
2a8mliwolqqo6s5u,bar_stacked,0,0,2015 (smallest absolute difference ≈ 0.41 between Asia Pacific 15.78 and the other three regions' combined 15.37; 2013 is a near tie at 0.42),0,"Both collapsed sums across all years instead of per-year grouping; ours target=2021/value=376.58 and baseline value=43.26, neither yields the correct year 2015; gold has no spec."
1a6pxfig1xf4oeu3,bar_simple,0,0,"The period 2006–2012 (all those years have franchise value ≤ $200M: 149,162,169,170,169,173,175); from 2013 on values exceed 200.",0,"Answer is contiguous period 2006–2012; ours adds a wrong strict-decreasing monotonicRun (data is rising) so rows aren't that period; baseline reduces to single year 2009/170, not a period."
1ashoniy42n3n5jr,bar_simple,1,1,"285.3036 (avg incl 2020 = 4580.125, avg excl 2020 = 4865.4286, difference = -285.3036; magnitude 285.3)",0,Baseline -285.3036 matches true diff magnitude; sign convention makes it correct despite auto_baseline=WRONG.
4twwx65oath7vrkt,line_multiple,0,1,"Min imports = 1.15 (2001); exports > 1.15 occur in 2007 (1.16), 2008 (1.31), 2010 (1.29), 2011 (1.50). First/primary answer year = 2007.",0,"Ours returns empty (wrong); baseline returns 2007 (1.16), the first year exports exceed min imports 1.15 — correct."
1ar60b8rke2d8e64,bar_grouped,1,1,,0,
7w9v4fsbg5ydxsr2,line_simple,0,0,0.156 (even avg 2.418 - odd avg 2.262),0,"True diff is 0.156; gold matches. Ours (0.1491) and baseline (0.1444) used ""between"" range filters that captured all years instead of isolating even/odd, so both are wrong."
1a09xqtrj8zms716,bar_simple,0,0,"600 (top 3: 732+646+422=1800, /3=600)",0,"True avg of top-3 (732,646,422)=600; gold=600 correct; ours=47 and baseline=190 both genuinely wrong."
1bbe64wpvq06sknm,bar_simple,1,1,"Average = 41373/9 = 4597; per-year diffs (value-avg): 2010/11 -94, 2011/12 -64, 2012/13 +589, 2013/14 -161, 2014/15 -524, 2015/16 -108, 2016/17 +935, 2017/18 -682, 2018/19 +109",0,"Question wants per-year diffs (a row list); all three compute avg=4597 then signed diffByValue, yielding correct rows (baseline derives avg via sum×1/9, then sorts)."
16fif5hdi8yzml00,bar_grouped,0,1,7.5 (max avg 20 - min avg 12.5),0,"Max avg=20, Min avg=12.5, diff=7.5; baseline=7.5 correct, ours=NaN (ops2 average mis-wired with inputs[n1]) incorrect, gold=7.5 correct."
827lhm2w7n652knp,line_simple,0,0,2,1,"Question counts inc→dec peaks (2007, 2011) = 2; ours=15 (all abs diffs), baseline=7 and gold=7 (decreasing-interval count), none match true answer of 2."
1bv05pu9d8jnidty,bar_simple,1,1,,0,
2mi8b2r0oalayl6g,bar_stacked,0,0,"2015 (combined golf wear + golf gear = 548.26, the smallest yearly total)",0,"Answer is year 2015; both systems summed all years into one grand total (ours 10616.16, baseline 3989.76) instead of grouping by year, so neither yields a year. Gold has no spec."
82aqt0k0jnbj3irf,line_simple,0,0,"2015 (median number of enterprises = 494099, the 5th of 9 sorted values)",0,"Median is 494099 (2015); both ours and baseline returned 575733/2014 (the max), so both wrong; gold correct."
1jatwi94v2d8cr9u,bar_grouped,1,1,,0,
2bhsybiilde28j87,bar_stacked,0,0,"19% (0.19) — average of White 0.20, Hispanic 0.16, Other 0.21 for ""Very interested""",0,"Ours omitted the ""Very interested"" filter, averaging all 15 non-Black rows (19.93%) instead of 19%; baseline returned NaN."
1bywaj7stsb3060c,bar_simple,0,0,"0.067 (avg of Conad 0.148, Selex 0.101, Agorà 0.031, MD 0.031, Crai 0.024 = 0.335/5)",0,"Baseline 0.0596 is the all-15 average (filter included every company), not the ≤5-letter subset avg 0.067; gold and ours produced no spec."
6ah60yba8o7rw0i9,line_multiple,1,1,,0,
5p6g89v7l99aes05,line_multiple,1,1,,0,
1ce802l2rdg98d7d,bar_simple,0,0,PD (Partito Democratico) (0.19) — the third highest Share of respondents,1,"3rd-most desc = PD (0.19); gold/ours returned Azione (0.031, 3rd-from-bottom) and baseline Forza Italia (0.075, 5th) — all wrong."
1hokbw2gmzar9ye8,bar_grouped,0,0,,0,
5wpw8detqynmqv1s,line_multiple,1,1,151 (female max 207 in 2002 minus male min 358 in 2013 = -151; absolute difference 151),0,"Both ours and baseline return -151 (signed); equals gold 151 under sign-convention equivalence, so both correct despite auto-judge flagging WRONG."
8e9wp443ff1i6snq,line_simple,1,1,,0,
2n0g3tsz1rsz6fgr,bar_stacked,1,1,,0,
8chfa8n079zpfigi,line_simple,0,0,11,0,"11 years have ranking 20-30 inclusive; gold=11 correct; ours/baseline both returned 1 (between-filter failed), wrong."
1j7gx35h6i9mpi6j,bar_grouped,0,1,"0.19 (Books 0.63 - Beauty products 0.44; absolute difference 0.19, or -0.19 signed)",0,"True diff is 0.19; gold and baseline both 0.19 (correct), ours produced NaN (failed execution, incorrect)."
2yech0pea1xihind,bar_stacked,0,0,"89 (Facebook 51 + Instagram 38, ""Several times a day"")",0,"Ours got 193 (summed all 5 platforms' ""Several times a day"", missing Platform filter to Facebook+Instagram); gold=89 correct; baseline empty."
64ue1v00wj8vg48e,line_multiple,0,1,~21.74 (after-2010 avg 60.36 minus before-2010 avg 38.63; sign convention allows ±21.74),0,"Gold=21.74 matches (excl 2010); baseline=20.375 includes 2010 in after-group, a defensible boundary interpretation; ours=-1.375 averages the same wrong subset twice."
1dm30xw1gpjo8ke5,bar_simple,1,1,,0,
8hiwwys6qkrbtapb,line_simple,0,1,,0,
1mzcynif2s4mm6ps,bar_grouped,1,1,,0,
54gh54f24irr63pb,bar_stacked,1,0,,0,
1p6uue3hxdxit3ey,bar_grouped,0,0,,0,
1fngt6cb1d60a2ow,bar_simple,0,0,"Yes — sum of all regions except Metro Total = 89359, which exceeds 50,000 (true)",0,"Both executed to final=""empty""/value=null, producing no boolean answer; true answer is true (89359>50000). Ours also mis-wires (sum group=""Metro Total"", compare ref:n1); baseline spec is logically correct but still executed empty."
6rvtt4egfl5nmyue,line_multiple,1,1,,0,
1suppecte0dm69gm,bar_grouped,0,1,"Yes — avg(Men 0.42, Women 0.59)=0.505 > All adults 0.5 (True)",0,"avg(0.42,0.59)=0.505>0.5 → True; gold/baseline=1.0 correct, ours returned empty (compareBool got no value)."
1e56qqj7moat9gqa,bar_simple,1,0,82.64 (sum of 13.15 + 14.98 + 16.94 + 18.79 + 18.78),0,"Sum of all 5 spending values = 82.64; ours returns 82.64, baseline's extra retrieveValue step yields empty/null; gold has no spec."
6p4fnscalopvysnn,line_multiple,1,1,,0,
50y71e5i2n28gkbx,bar_stacked,0,0,7266,0,"True avg of 4 values (9272+4576+10720+4496)/4=7266; gold=7266 correct, ours=14748.75 and baseline=6142 both wrong."
75yz7pci1w1dif3g,bar_stacked,0,0,3rd largest |None-of-these − Cheese&onion| diff = 60+ at 0.18 (literal/gold reading); under explanation's reading (diff vs 18-24's 0.23 cheese&onion) 3rd = 25-39 at 0.02.,0,"Baseline returned 2nd-largest (25-39/0.19), not 3rd (60+/0.18) — off by one, so auto_baseline=CORRECT is wrong; ours returned 18-24/0.03 (diff 0.00 group), also wrong."
7extlfw651gqc5fk,line_multiple,1,1,,0,
6rqevjp16hadlyly,line_multiple,1,1,,0,
1esx2fbduhqn7knk,bar_simple,0,0,"639.5625 (avg of 1279.13, 715.86, 555.8, 7.46 after excluding max 5003.23 and min 0)",0,"Ours returned count=4.0 (never divided sum/count); correct average is ~639.56, so the executed value is wrong."
1epzpacytv3wx2i6,bar_simple,1,0,"Yes, the values rise monotonically: 730 < 751 < 772 < 806 (each year higher than the previous), so they are going up = true.",0,"Ours returns compareBool=1.0 (true=going up), matching truth; baseline's final is empty/null so it answers nothing; gold's monotonicRun rows are the correct intended check."
1qm2z3ooawf339jz,bar_grouped,1,1,,0,
95yhyqjyeu4fohbj,line_simple,1,1,,0,
62w3xg16iivw11et,bar_stacked,1,1,,0,
95wcyze391ifhegp,line_simple,1,1,,0,
