chart_id,chart_type,question,explanation,operation_spec,status,updated_at
13guplcbmfu1tjzu,bar_stacked,Which country has the highest european factor?,"1. Get the sum of germany and italy for each country
2. Get the country with the highest value",,pending,
10t8o5vhethzeod1,bar_stacked,In which year was the agriculture sector the highest,"1. get the all values from the agriculture sector
2. find the maximum value","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""group"": ""Agriculture""}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Share_of_GDP"", ""which"": ""max""}]}",pending,2026-06-30T03:17:28.968Z
11e148qcs7x70t8v,bar_stacked,in which years does south korea have a bigger value than france?,"1. Get difference between south korea and france in every year
2. Filter the year with a positive value","{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""by"": ""Period"", ""seriesField"": ""Country"", ""field"": ""Share_of_Import_Value"", ""groupA"": ""South Korea"", ""groupB"": ""France"", ""signed"": true, ""absolute"": false}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Share_of_Import_Value"", ""operator"": "">"", ""value"": 0}]}",pending,2026-06-30T03:17:31.195Z
10x2rgiqw97wdspi,bar_stacked,Which season was above average in both commercial and broadcasting?,"1. Find the average of the commercial
2. Find the average of the broadcasting
3. Find the season that is above average for both commercial and broadcasting","{""ops"": [{""op"": ""average"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Revenue_Million_Euros"", ""group"": ""Commercial""}, {""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Revenue_Million_Euros"", ""group"": ""Broadcasting""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Revenue_Million_Euros"", ""operator"": "">"", ""value"": ""ref:n1"", ""group"": ""Commercial""}, {""op"": ""filter"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n2""], ""sentenceIndex"": 2}, ""field"": ""Revenue_Million_Euros"", ""operator"": "">"", ""value"": ""ref:n2"", ""group"": ""Broadcasting""}, {""op"": ""pairDiff"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n3"", ""n4""], ""sentenceIndex"": 2}, ""by"": ""Season"", ""seriesField"": ""Revenue_Type"", ""field"": ""Revenue_Million_Euros"", ""groupA"": ""Commercial"", ""groupB"": ""Broadcasting"", ""signed"": true, ""absolute"": false}, {""op"": ""filter"", ""id"": ""n6"", ""meta"": {""nodeId"": ""n6"", ""inputs"": [""n5""], ""sentenceIndex"": 2}, ""field"": ""Revenue_Million_Euros"", ""operator"": "">"", ""value"": 0}]}",pending,2026-06-30T03:17:40.186Z
0gf8ugj84bs1ko2k,bar_stacked,What is the average value for each service area in the year when the data center's revenue was highest?,"1. Check the graph for the data center with the highest value.
2. Check the value for each service area.
3. Calculate the average.","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""group"": ""Data Centers""}, {""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Revenue_Million_USD"", ""which"": ""max""}], ""ops2"": [{""op"": ""average"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 2}, ""field"": ""Revenue_Million_USD"", ""group"": ""BPO""}, {""op"": ""average"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n2""], ""sentenceIndex"": 2}, ""field"": ""Revenue_Million_USD"", ""group"": ""Cloud""}, {""op"": ""average"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2""], ""sentenceIndex"": 2}, ""field"": ""Revenue_Million_USD"", ""group"": ""Data Centers""}], ""ops3"": [{""op"": ""average"", ""id"": ""n6"", ""meta"": {""nodeId"": ""n6"", ""inputs"": [""n3"", ""n4"", ""n5""], ""sentenceIndex"": 3}, ""field"": ""Revenue_Million_USD""}]}",pending,2026-06-30T03:17:53.238Z
0dglnk2wbf5ll15t,bar_stacked,What is the difference between the average of values corresponding to Poor and the average of values corresponding to Good?,"1. Check the values for each year's Poor
2. Obtaining the mean of the values found in number 1
3. Check the value corresponding to Good for each year
4. Obtaining the mean of the values found in number 3
5. Find the difference between the two mean values","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""group"": [""Poor""]}, {""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Share_of_Respondents""}, {""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 1}, ""group"": [""Good""]}, {""op"": ""average"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 1}, ""field"": ""Share_of_Respondents""}], ""ops2"": [{""op"": ""diff"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 2}, ""field"": ""Share_of_Respondents"", ""targetA"": ""ref:n2"", ""targetB"": ""ref:n4"", ""signed"": false}]}",pending,2026-06-30T03:17:56.472Z
0aj7na7tkqb7iomu,bar_stacked,What is the difference between the installed base million value of Tablets in 2017 and the installed base million value of Mobile PCs in 2022?,"1. Check the value of the installed Base Millions in Tablets for 2017
2. Check Mobile PCs' Installed Base Millions value for 2022
3. Check the values of 1 and 2 which are greater
4. Subtract small value from large value","{""ops"": [{""op"": ""retrieveValue"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Year"", ""target"": ""2017"", ""group"": ""Tablets""}], ""ops2"": [{""op"": ""retrieveValue"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Year"", ""target"": ""2022"", ""group"": ""Mobile PCs""}], ""ops3"": [{""op"": ""compareBool"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n1"", ""n2""], ""sentenceIndex"": 3}, ""field"": ""Installed_Base_Millions"", ""targetA"": ""ref:n1"", ""targetB"": ""ref:n2"", ""operator"": "">""}], ""ops4"": [{""op"": ""diff"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n1"", ""n2""], ""sentenceIndex"": 4}, ""field"": ""Installed_Base_Millions"", ""targetA"": ""ref:n1"", ""targetB"": ""ref:n2"", ""signed"": false}]}",pending,2026-06-30T03:18:00.076Z
0g0xma0b0k29lk5j,bar_stacked,"Which year has the second largest difference between 65 years and older and 15–64 years?

","1. Check the graph with the second smallest value of 65 years and old and check the value 
2. Check the graph with the second largest value of 15–64 years and check the value
3. Check the year in question (Compare the value between 1 and 2)","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""group"": ""65 years and older""}, {""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Share_of_Total_Population"", ""which"": ""min"", ""rank"": 2}, {""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 1}, ""group"": ""65 years and older""}, {""op"": ""findExtremum"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 1}, ""field"": ""Share_of_Total_Population"", ""which"": ""min"", ""rank"": 2}], ""ops2"": [{""op"": ""filter"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [], ""sentenceIndex"": 2}, ""group"": ""15–64 years""}, {""op"": ""findExtremum"", ""id"": ""n6"", ""meta"": {""nodeId"": ""n6"", ""inputs"": [""n5""], ""sentenceIndex"": 2}, ""field"": ""Share_of_Total_Population"", ""which"": ""max"", ""rank"": 2}, {""op"": ""filter"", ""id"": ""n7"", ""meta"": {""nodeId"": ""n7"", ""inputs"": [], ""sentenceIndex"": 2}, ""group"": ""15–64 years""}, {""op"": ""findExtremum"", ""id"": ""n8"", ""meta"": {""nodeId"": ""n8"", ""inputs"": [""n7""], ""sentenceIndex"": 2}, ""field"": ""Share_of_Total_Population"", ""which"": ""max"", ""rank"": 2}], ""ops3"": [{""op"": ""diff"", ""id"": ""n9"", ""meta"": {""nodeId"": ""n9"", ""inputs"": [""n4"", ""n8""], ""sentenceIndex"": 3}, ""field"": ""Share_of_Total_Population"", ""targetA"": ""ref:n4"", ""targetB"": ""ref:n8"", ""signed"": false}]}",pending,2026-06-30T03:18:06.022Z
0nmj7sdej4cipma7,bar_stacked,Which country had the most significant difference in net sales between the years 2019 and 2020?,"1. filter year 2019 and 2020
2. filter for the values of each given group and subtract the 2020 value from the 2019 values.
3. compare absolute values and choose the highest
","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Year"", ""operator"": ""between"", ""value"": [""2019"", ""2020""], ""xKindHint"": ""nominal""}], ""ops2"": [{""op"": ""pairDiff"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""by"": ""Segment"", ""seriesField"": ""Year"", ""field"": ""Net sales in million US dollars"", ""groupA"": ""2019"", ""groupB"": ""2020"", ""signed"": true, ""absolute"": false}, {""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 2}, ""field"": ""Net sales in million US dollars"", ""operator"": "">"", ""value"": 0}], ""ops3"": [{""op"": ""findExtremum"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n2""], ""sentenceIndex"": 3}, ""field"": ""Net sales in million US dollars"", ""which"": ""max""}]}",pending,2026-06-30T03:18:09.980Z
0ufvwi9xv37e597q,bar_stacked,Which season has the biggest gap between Matchday and Commercial?,"1. Calculate the difference between Matchday and Commercial for each season
2. find the season with the maximum difference","{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""by"": ""Season"", ""seriesField"": ""Revenue_Type"", ""field"": ""Revenue_Million_Euros"", ""groupA"": ""Matchday"", ""groupB"": ""Commercial"", ""signed"": false, ""absolute"": true}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Revenue_Million_Euros"", ""which"": ""max""}]}",pending,2026-06-30T03:18:12.227Z
0q8vqyb35mbq0efx,bar_grouped,Which year had the lowest amount of suicides of all ages combined?,"1. Sum of all the age ranges for every year
2. Find the extremum (lowest)","{""ops"": [{""op"": ""sum"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Number of suicides""}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Number of suicides"", ""which"": ""min""}]}",pending,2026-06-30T03:18:14.243Z
0prhtod4tli879nh,bar_grouped,Which city had the biggest jump in population from 2010 to 2025?,"1. get the difference of every city in every year
2. find the extremum","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""group"": [""2010"", ""2025""]}, {""op"": ""pairDiff"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""by"": ""City"", ""seriesField"": ""Year"", ""field"": ""Population in millions"", ""groupA"": ""2025"", ""groupB"": ""2010"", ""signed"": true, ""absolute"": false}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 2}, ""field"": ""Population in millions"", ""which"": ""max""}]}",pending,2026-06-30T03:18:17.331Z
0rfuaawgi58ajpsv,bar_grouped,What is the difference in the average between North America and Latin America?,"1. Get the average of Northern America
2. Get the average of Latin America
3. Get the difference between the two average values","{""ops"": [{""op"": ""average"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Media rights revenue in billion US dollars"", ""group"": ""North America""}], ""ops2"": [{""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Media rights revenue in billion US dollars"", ""group"": ""Latin America""}], ""ops3"": [{""op"": ""diff"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n1"", ""n2""], ""sentenceIndex"": 3}, ""field"": ""Media rights revenue in billion US dollars"", ""targetA"": ""ref:n1"", ""targetB"": ""ref:n2"", ""signed"": true}]}",pending,2026-06-30T03:18:20.697Z
0rdpculfpyw3bv5p,bar_grouped,Which year shows the lowest gap between lending and investment?,"1. Get the difference between lending and investment in every year
2. Find the year with the smallest value","{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""by"": ""Year"", ""seriesField"": ""Type"", ""field"": ""Value in billion US dollars"", ""groupA"": ""Lending"", ""groupB"": ""Investment"", ""signed"": false, ""absolute"": true}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Value in billion US dollars"", ""which"": ""min""}]}",pending,2026-06-30T03:18:22.787Z
0egzejn5mejtnfdm,bar_grouped,What is the difference between Scotland's largest value and England and Wales's smallest value?,"1. Check Scotland's Biggest Value
2. Check the smallest value for England & Wales
3. Check if the value is greater than the value of number 1 or number 2
4. Subtract small value from large value
","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""group"": ""Scotland""}, {""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""SharePercentage"", ""which"": ""max""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 2}, ""group"": ""England & Wales""}, {""op"": ""findExtremum"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 2}, ""field"": ""SharePercentage"", ""which"": ""min""}], ""ops3"": [{""op"": ""compareBool"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 3}, ""field"": ""SharePercentage"", ""targetA"": ""ref:n2"", ""targetB"": ""ref:n4"", ""operator"": "">""}], ""ops4"": [{""op"": ""diff"", ""id"": ""n6"", ""meta"": {""nodeId"": ""n6"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 4}, ""field"": ""SharePercentage"", ""targetA"": ""ref:n2"", ""targetB"": ""ref:n4"", ""signed"": false}]}",pending,2026-06-30T03:18:26.789Z
0fhm43s0j7glca29,bar_grouped,Which year has the average of the values corresponding to 2018 or the larger value corresponding to 2020?,"1. Check all values for 2018
2. Calculated the mean
3. Check all values for 2020
4. Calculated the mean
5. Determine which year has the greater of the two means","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""group"": [""2018""]}, {""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Revenue in billion US dollars""}, {""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 1}, ""group"": [""2020""]}, {""op"": ""average"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 1}, ""field"": ""Revenue in billion US dollars""}], ""ops2"": [{""op"": ""compareBool"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 2}, ""targetA"": ""ref:n2"", ""targetB"": ""ref:n4"", ""operator"": "">""}]}",pending,2026-06-30T03:18:30.347Z
