#,chart_type,chart_id,all_id,question,explanation
1,line_simple,2jromeq5u9lloh1s,line_simple_2jromeq5u9lloh1s,Which years has the biggest jump?,"1. Get the difference between every year
2. Get the extremum "
29,bar_stacked,0aj7na7tkqb7iomu,bar_stacked_0aj7na7tkqb7iomu,What is the difference between the installed base million value of Tablets in 2017 and the installed base million value of Mobile PCs in 2022?,"1. Check the value of the installed Base Millions in Tablets for 2017
2. Check Mobile PCs' Installed Base Millions value for 2022
3. Check the values of 1 and 2 which are greater
4. Subtract small value from large value"
30,bar_simple,0gvrmm8qbn6o1vya,bar_simple_0gvrmm8qbn6o1vya,"What is the average of Season's ticket prices with a ticket price of $60 or less?
","1. Identify the 60 line on the Y-axis.
2. Identify the bar graphs with values ​​under 60.
3. Calculate the average of each bar."
31,bar_grouped,0egzejn5mejtnfdm,bar_grouped_0egzejn5mejtnfdm,What is the difference between Scotland's largest value and England and Wales's smallest value?,"1. Check Scotland's Biggest Value
2. Check the smallest value for England & Wales
3. Check if the value is greater than the value of number 1 or number 2
4. Subtract small value from large value
"
32,line_simple,0roec4s0drcyiuz4,line_simple_0roec4s0drcyiuz4,"What is the average of the values in the period in which the Unemployment rate value falls for more than two years?
","1. Check for sections where prices have fallen for more than two years
2. Check all values for each year from Quarter obtained by 1
3. Finds the average of the values obtained in number 2 "
33,bar_simple,0eq4w2wsl864mhcj,bar_simple_0eq4w2wsl864mhcj,"What is the average of the sales values of a company with a sales volume in million units of 60 or more?
","1. Confirmation of a company with a Sales value of more than 60
2. Finds the average of the values found in number 1"
34,bar_stacked,0g0xma0b0k29lk5j,bar_stacked_0g0xma0b0k29lk5j,"Which year has the second largest difference between 65 years and older and 15–64 years?

","1. Check the graph with the second smallest value of 65 years and old and check the value 
2. Check the graph with the second largest value of 15–64 years and check the value
3. Check the year in question (Compare the value between 1 and 2)"
35,bar_grouped,0fhm43s0j7glca29,bar_grouped_0fhm43s0j7glca29,Which year has the average of the values corresponding to 2018 or the larger value corresponding to 2020?,"1. Check all values for 2018
2. Calculated the mean
3. Check all values for 2020
4. Calculated the mean
5. Determine which year has the greater of the two means"
36,bar_grouped,0gacqohbzj07n25s,bar_grouped_0gacqohbzj07n25s,What is the difference between the average of surgical values in European countries and the average of surgical values in Asian countries?,"1. European countries identified
2. Obtain the average of the surgical values of European countries
3. Check out Asian countries
4. Find the average of the surgical values of Asian countries
5. Subtract smaller values from larger values"
37,line_simple,1c80b6i7wdu3m1ir,line_simple_1c80b6i7wdu3m1ir,What is the sum of the y-values ​​for the period in which the y-axis value increased most sharply for two or more consecutive years?,"1. Identify lines that trend upward for two or more years.
2. Find the difference between the starting and ending values.
3. Identify the line with the largest value.
4. Add all values ​​corresponding to number 3."
38,line_multiple,1k8qhmg9rui7gtzh,line_multiple_1k8qhmg9rui7gtzh,What is the difference between the largest value in Germany and the smallest value in the U.S. between 2010 and 2015?,"1. Find the largest value in Germany between 2010 and 2015.
2. Find the smallest value in the U.S. between 2010 and 2015.
3. Subtract value 2 from value 1."
39,bar_grouped,0ihx2vzdsej883sq,bar_grouped_0ihx2vzdsej883sq,What is the Male value in the category with the second-lowest Female share of employees?,"1. Check the second-lowest Female value.
2. Check the Male value in that Category."
40,bar_simple,0fh0emp095qhq3ag,bar_simple_0fh0emp095qhq3ag,What is the difference between the largest and smallest values between 2010 and 2019?,"1. Check the highest bar graph between 2010 and 2019 and find the value
2. Check the lowest bar graph between 2010 and 2019 and find the value
3. Subtract value 2 from value 1"
41,bar_grouped,0k75gqf8ckjikdym,bar_grouped_0k75gqf8ckjikdym,For which year was the difference between the average age at marriage for men and women the lowest?,"1. Calculate the difference between the average age at marriage for each year.
2. Compare the differences between each year.
3. Choose the year with the lowest difference "
42,line_multiple,1p4nnba4568wza9n,line_multiple_1p4nnba4568wza9n,How many times did the dominant opinion change?,"1. determine what if the dominant opinion was good or bad for each year (if higher than >50% dominant)
2. compare the dominant opinion for each year with the following and count if there was a change"
43,bar_stacked,0gzowodb2py0d1s9,bar_stacked_0gzowodb2py0d1s9,How many years did Thailand's revenue exceed that of the Philippines'?,"1. Filter for the revenue of Thailand and the Philippines
2. Compare the revenue of Thailand and the Philippines
3. count the years for which Thailand's revenue was higher."
44,bar_stacked,0nmj7sdej4cipma7,bar_stacked_0nmj7sdej4cipma7,Which country had the most significant difference in net sales between the years 2019 and 2020?,"1. filter year 2019 and 2020
2. filter for the values of each given group and subtract the 2020 value from the 2019 values.
3. compare absolute values and choose the highest
"
45,bar_simple,0i9bxppwocx0tyop,bar_simple_0i9bxppwocx0tyop,How many employees did they have on average between 2008 and 2011?,"1. filter for the years 2008, 2009, 2010 and 2011
2. sum up the number of employees
3. calculate the average "
46,bar_grouped,0lua5jsw92d3enb4,bar_grouped_0lua5jsw92d3enb4,How many diet types surpassed the threshold of 0.03% in 2019?,"1. Filter for which diet type surpased the 0.03% threshold. in 2018 and 2019.
2. Calculate the amount of diet types in 2018 and 2019.
3. and calculate the absolute difference of the two results."
47,bar_simple,0iv07908ph6y6ifj,bar_simple_0iv07908ph6y6ifj,What was the average of active users from March '16 to March '19?,"1. filter for the dates March 16 to MARCH 19
2. calculate the average of those filtered dates"
48,line_simple,1jabqwjz9pmd7qwz,line_simple_1jabqwjz9pmd7qwz,What was the median number of facilities between the years 2010 and 2019?,"1. Filter for the years 2010 to 2019
2. Calculate the median number"
49,line_simple,1sf5c8wqw1192q6b,line_simple_1sf5c8wqw1192q6b,How many dates was the growth rate below the average?,"1. calculate average growth rate
2. filter for the date for which the growth rate was below the average
3. count the number of filtered dates "
50,line_multiple,1vh62ks9wweck6m2,line_multiple_1vh62ks9wweck6m2,In which year did men and women report the most similar stress levels?,"1. Calculate the absolute differences in stress level of men and women
2. find the minimum"
51,bar_simple,0jbrb1dcbliiampz,bar_simple_0jbrb1dcbliiampz,How many years had investments of over 22 Billion Euros in the years 2011 to 2014?,"1. filter for the years 2011 to 2014
filter for the years higher than 22 Billion Euros
 count the filtered number of years "
52,bar_stacked,0ufvwi9xv37e597q,bar_stacked_0ufvwi9xv37e597q,Which season has the biggest gap between Matchday and Commercial?,"1. Calculate the difference between Matchday and Commercial for each season
2. find the season with the maximum difference"
53,bar_grouped,0oinwvo88bvvs25b,bar_grouped_0oinwvo88bvvs25b,What was the difference between the maximum value of women and men?,"1. find the maximum value in the men group
2. find the maximum value in the women group
3. calculate the absolute difference from the two values"
54,line_simple,1vni31fp2ii7wz68,line_simple_1vni31fp2ii7wz68,Which year showed the highest drop?,"1. calculate the difference for each year,
2. find the minimum value"
55,line_multiple,20gpvz4ylu4olrm7,line_multiple_20gpvz4ylu4olrm7,What is the average difference between Women and Men from 2000?,"1. calculate the average of Women from 2000
2. calculate the average of Men from 2000
3. calculate the difference"
56,bar_simple,0k7bm9iqewnrzj47,bar_simple_0k7bm9iqewnrzj47,Is the average of the top three greater than twice the average of the lowest three?,"1. find the top three values
2. calculate the average
3. find the lowest three values
4. calculate the average
5. double the lowest average
6. compare the two values to find which one is bigger"
57,bar_stacked,0vfqjaxeiv96ww7g,bar_stacked_0vfqjaxeiv96ww7g,What is the difference between white and black who answer more than most of all time?,"1. sum ""almost of all of the time"" and ""most of the time"" of white
2. sum ""almost of all of the time"" and ""most of the time"" of black
3. calcuate the difference"
58,bar_grouped,0opt5fjw2xphdgp2,bar_grouped_0opt5fjw2xphdgp2,Which group shows the highest value in the sum of occasionally and infrequently answered?,"1. calculate the sum of each value of occasionally and infrequently
2. find the maximum"
59,line_simple,25gpdzxh8nu0c0vf,line_simple_25gpdzxh8nu0c0vf,"In average and median values, which one is bigger?","1. calculate the average
2. calculate the median
3. compare which one is bigger"
60,line_multiple,20qa83ih1gn6toqt,line_multiple_20qa83ih1gn6toqt,Which year shows the lowest gap between convenience and price,"1. calculate the difference between convenience and price for each year
2. find the minimum"
61,bar_simple,0baf5ch9y4z8914p,bar_simple_0baf5ch9y4z8914p,What is the average of the three lowest rate values?,"List the Rate values in ascending order.
Add the first three values.
Divide the added value by three."
62,bar_grouped,01h0jkno5l7jola8,bar_grouped_01h0jkno5l7jola8,What is the average difference between the male and female proportions of each artist?,"Get the difference between the Men and the Women in the share of respondents for each artist.
Sum all of the differences.
Divide the sum by 5.
"
63,line_multiple,0cjk67q39ee6dhzj,line_multiple_0cjk67q39ee6dhzj,What is the difference between the year with the smallest difference between Republicans and Democrats and the year with the highest difference?,"Find the difference between Republicans and Democrats for each year.
Sort the values in descending order.
Find the highest and lowest values.
Find the difference between the two values."
64,bar_grouped,01mksjs373fhcl4q,bar_grouped_01mksjs373fhcl4q,Which sector showed the most decline?,"Find the difference between the two years of each sector.
List the values in descending order.
Find the sector with the highest value."
65,line_simple,04xwv56n37ybj8zr,line_simple_04xwv56n37ybj8zr,What is the difference between the third most index scores and the fifth most index scores?,"List the index scores of each year in descending order.
Find the third highest value and the fifth highest value among them.
Find the difference between the two values.
"
66,line_simple,0cymcilknp8krjwz,line_simple_0cymcilknp8krjwz,What is the difference between the sum of the values above 4.0 and the sum of the values below 2.5?,"Find the line of 4.0.
Add the values of the dots above 4.0.
Find the line of 2.5.
Add the values of the dots below 2.5.
Find the difference between the two values."
67,bar_simple,0abj8blv663ussbr,bar_simple_0abj8blv663ussbr,What is the difference between 2010 and 2020 values?,"Find the value for 2010.
Find the value for 2020.
Find the difference between the two values."
68,bar_simple,0cad2xfrwdgvo9zk,bar_simple_0cad2xfrwdgvo9zk,What is the sum of the three median values for each year?,"List the values ​​for each year in descending order.
Find the three medians.
Add those values."
69,line_simple,0gr1c2jcthc8h9f6,line_simple_0gr1c2jcthc8h9f6,What is the difference between a value for a year with a score value between 6.2 and 5.8 and a value for a year with a score value below 4.8?,"Find values for years with values between 6.2 and 5.8.
Find the value of the year with the value below 4.8.
Find the difference between the two values."
70,bar_stacked,001dao0mq0pplbzj,bar_stacked_001dao0mq0pplbzj,What year has the biggest difference between commercial and matchday?,"Get the difference between the Commercial and the Matchday for each year.
Find the year with the maximum difference."
71,bar_simple,0a5npu4o61dz4r5f,bar_simple_0a5npu4o61dz4r5f,What is the difference between the countries with the highest and lowest images?," Find the highest damage value.
Find the lowest damage value.
Get the difference between the two values"
72,bar_grouped,07lo3vvwztz32ifq,bar_grouped_07lo3vvwztz32ifq,What is the sum of the values with the highest and lowest percentage differences for each year?,"Find the difference in values between the years in each region.
List the values in descending order.
Sum the highest and lowest values."
73,bar_stacked,075i5mfewy2uvwej,bar_stacked_075i5mfewy2uvwej,What is the difference between the service value in 2010 and the service value in 2020?,"Find the service value for 2010.
Find the service value for 2020.
Find the difference between the two values."
74,line_simple,08x3crju85yix5ab,line_simple_08x3crju85yix5ab,How many years have a score below 80 in total?,"Find the value of 80.
Find the points below the 80-value line.
Count the number of dots."
75,bar_stacked,004fhteah0l9kud2,bar_stacked_004fhteah0l9kud2,What is the difference between the average of Commercial and the average of Matchday?,"1. Add all the Commercial values for each year.
2. Divide the value by six.
3. Add all the values of the matchday for each year.
4. Divide the value by six.
5. Find the difference between the two computed values."
76,line_multiple,0bunvsqd54e3qahz,line_multiple_0bunvsqd54e3qahz,What is the difference between the female value in 2010 and the male value in 2016?,"Find the female value for 2010.
Find the male value for 2016.
Find the difference between the two values."
77,bar_grouped,0bgcjlbz7nv5vnjc,bar_grouped_0bgcjlbz7nv5vnjc,What is the average value of the difference between the three years with the largest difference between age groups?,"Find the difference in values for each year.
Sort the values in descending order.
Find the top 3 years with the highest difference.
Divide the values by three."
78,line_multiple,08iur64i01boakg5,line_multiple_08iur64i01boakg5,Which year has the highest difference in values between Male and Female?,"Find the difference between the male and female percentages for each year.
Sort the values in descending order.
Choose the highest value."
79,bar_stacked,05qg5ubxklojfze7,bar_stacked_05qg5ubxklojfze7,Which one has the highest percentage sum between major and minor?,"Find the sum of the major and minor problems of each of the problems.
Find the highest value among them."
80,line_multiple,0b9o2vahkw2a1bxy,line_multiple_0b9o2vahkw2a1bxy,What is the difference between the value of the year with the highest percentage of no and the value of the year with the third highest percentage of yes?,"Sort the percentage values that answered no for each year in descending order.
Find the highest value.
Sort the percentage values that answered Yes for each year in descending order.
Find the third-highest value.
Find the difference between the two values obtained."
81,bar_simple,0v0l4wdbx7orkqz1,bar_simple_0v0l4wdbx7orkqz1,"Which is more, the number of suicides under the age of 30 or over the age of 70?","- Filters the number of suicides under the age of 30 and over the age of 70, respectively.
- Add each value within each filtered group.
- Compare the magnitude of the total of each group."
82,bar_stacked,14jud3ymyoonba4e,bar_stacked_14jud3ymyoonba4e,Which sector accounted for the largest portion of this chart as a whole?,"- Add all year values for each sector by sector
- Find the largest value by comparing the sum of values for each sector added"
83,bar_grouped,0vw6ydim9cff8ji6,bar_grouped_0vw6ydim9cff8ji6,In which year did construction record the highest percentage?,- Compare the percentage values for all years in the construction sector to each other
84,line_simple,5lhrulhnl0io2r81,line_simple_5lhrulhnl0io2r81,How many months were the month when the producer price index was lower than 210 in total?,"- Compare that the price index was lower than 210 for each month
- Counting the number of all low months"
85,line_multiple,2hjkdo5w242alvjd,line_multiple_2hjkdo5w242alvjd,Was the period from 2006 to 2011 longer than the period when people were more likely to be satisfied than the period when they were dissatisfied?,"- Filter responses only from 2006 to 2011
- Count the number of years over 50% of the respondents said they were satisfied
- Check the number is greater than 3"
86,bar_simple,0vmvmj77j3p6vcy7,bar_simple_0vmvmj77j3p6vcy7,What is the net income sum from 2010 to 2015?,"- Filters data from 2010 to 2015
- Add all filtered data."
87,bar_stacked,174uq759pluu079w,bar_stacked_174uq759pluu079w,What is the sum of Sony's rankings for 2017 and 2018?,"- Filtering from 2017 to 2018
- Find the ranking for each year of Sony
- Add each rank"
88,bar_grouped,0w5jptak9peti0mj,bar_grouped_0w5jptak9peti0mj,How many years in total did APAC have the lowest annual revenue?,"- Check APAC's ranking for all years.
- Count the number of years in which APAC ranks lowest."
89,line_simple,5po479f2ju9lqv16,line_simple_5po479f2ju9lqv16,What is the total from 2011 to 2017?,"- Filters data from 2011 to 2017
- Add all filtered data"
90,line_multiple,2kmpy10btl65kr2j,line_multiple_2kmpy10btl65kr2j,What is the average of the percentage of responses in the last three years of Favourable views of the US?,"- Filters data from 2015 to 2017
- Average the the percentage of responses of Favourable views of U.S from filtered data"
91,bar_simple,0vqxnzu0mpbz12ch,bar_simple_0vqxnzu0mpbz12ch,Which of the differences between 2018 and 2019 or the differences between 2023 and 2025 is the bigger value?,"- Calculate the difference between 2019 and 2018, the difference between 2025 and 2023
- Compare which of each difference is greater"
92,bar_stacked,19xwo5oscmgpcdyl,bar_stacked_19xwo5oscmgpcdyl,What the average of the agricultural values for all years in which the value of industry is greater than 0.2?,"- Find all years in which the value of indusrtry is greater than 0.2.
- Average the agricultural values for all years found."
93,bar_grouped,0wgqpso2vnilpym6,bar_grouped_0wgqpso2vnilpym6,Is the difference between Alaska's 2000 value and 2020 value greater than Total's 2020 minus 2000 value?,"- Subtract Alaska's 2020 value from Alaska's 2000 value
- Subtract Total's 2000 value from Total's 2020 value
- Compare each"
94,line_simple,651x1l1swysyy6vp,line_simple_651x1l1swysyy6vp,When was the fifth highest percentage of the values on the chart?,"- Sort in order of percent higher
- Check the date of the fifth highest percentage."
95,line_multiple,2s65jcap9pn289qx,line_multiple_2s65jcap9pn289qx,What is the sum of the differences between women and men in the last five years?,"- Filter data from 2016 to 2020
- Find both the differences between women and men in the filtered data.
- Add all the values"
96,bar_simple,0vvz9mdgdiazke5o,bar_simple_0vvz9mdgdiazke5o,What the average of values from 2012 to 2015?,"- Filter data from 2012 to 2015
- Add all the values from filtered data"
97,bar_stacked,19msoowya2szdynd,bar_stacked_19msoowya2szdynd,What is the sum of the Coal values for all years in which the value of Gas is greater than 1/3 of the value of Oil?,"- For all years, divide the oil value by 3 and filter all years with larger gas values compared to the value of gas.
- Add all Coal values from filtered years."
98,bar_grouped,0xc7sx6ll8fl5rgh,bar_grouped_0xc7sx6ll8fl5rgh,What is the average of the vote share at an age when Clinton received a lower vote share?,"- Filters the age group where Clinton gets a lower vote share.
- Find the average of the votes for a filtered age group."
99,line_simple,66va2s35es5t86l3,line_simple_66va2s35es5t86l3,What is the year with the largest increase compared to the previous year?,"- Find the difference between the current value and the previous data value for all years with previous years.
- Find the year in which the highest value was recorded among the differences."
100,line_multiple,3tc31k5k2o6wmvyp,line_multiple_3tc31k5k2o6wmvyp,How many dates were there in total when the percentage sum of dem and rep was less than 70?,"- For all days, the sum of each dem and rep values is obtained, and values higher than 70 are filtered.
- Count the total number of filtered values"
101,bar_grouped,12sdcc2xjltg7qj2,bar_grouped_12sdcc2xjltg7qj2,"Among the differences between the blue and orange bars, how many times is the largest value greater than the smallest value?","1. Calculate the difference between the two bars for each year.
2. Find the maximum and minimum differences.
3. Divide the maximum value by the minimum value."
102,line_simple,72yqb8jwj9a6g4nx,line_simple_72yqb8jwj9a6g4nx,What is the difference between the average from 2011 and the average up to 2010?,"1. Calculate the average from 2011 to 2015.
2. Calculate the average from 2005 to 2010.
3. Calculate the difference."
103,line_simple,6al86e9qyokma74i,line_simple_6al86e9qyokma74i,How many years are below average?,"1. Calculate the average value.
2. Count how many years are below average."
104,line_simple,724mfnyk34kp97le,line_simple_724mfnyk34kp97le,How many years are there that have a lower value than the average?,"1. Calculate the difference.
2. Find all values that have a lower value than the average.
3. Count the values."
105,bar_stacked,1q3mzgt77lwo172f,bar_stacked_1q3mzgt77lwo172f,In which year is the difference between the blue and gray bars the greatest?,"1. Calculate the difference between the blue bar and the gray bar each year.
2. Find the year with the highest difference."
106,bar_simple,0xo3r87obscjsktm,bar_simple_0xo3r87obscjsktm,How many times is the difference between El Salvador and Ukraine greater than the difference between El Salvador and Denmark?,"1. Find the value of El Salvador.
2. Find the value of Ukraine.
3. Calculate the difference between the two values.
4. Find the value of Denmark.
5. Calculate the difference between Denmark and El Salvador
6. Compare which difference value is higher.
7. Divide the higher value by the lower value."
107,bar_grouped,0ykydh8vao50ceou,bar_grouped_0ykydh8vao50ceou,Which channel shows the maximum difference between the highest value and the lowest value of each channel?,"1. Find the maximum value and the minimum value for each channel
2. Calculate the difference between the minimum value and the maximum value for each channel
3. Find the channel that shows the maximum value"
108,line_multiple,4p1m4tsmzmtvsrys,line_multiple_4p1m4tsmzmtvsrys,What is the difference between the days when Obama is higher than Romney and the days when Romney is higher than Obama?,"1. Calculate the difference for each date.
2. Count where Obama is higher than Romney.
3. Count where Romney is higher than Obama.
4. Calculate the difference."
109,bar_simple,0wflwm4jebx7n12y,bar_simple_0wflwm4jebx7n12y,What is the difference between the average and the maximum number?,"1. Calculate the average value.
2. Find the maximum value.
3. Calculate the difference."
110,bar_stacked,21fa7gb8l1ix6yfm,bar_stacked_21fa7gb8l1ix6yfm,Which method shows the highest difference between every day and less often?,"1. Calculate the difference between everyday and less often for each method.
2. Find the method with the highest difference."
111,bar_grouped,0zjxkqy20iibpdvo,bar_grouped_0zjxkqy20iibpdvo,What is the difference between the average for Female on platforms more used by Male and the average for Male on platforms more used by Female?,"1. Find the Platforms where the Male shows a higher value than the Female.
2. Calculate the average of the Female values from the Platforms just found.
3. Find the Platforms where the Female shows a higher value than the Male.
4. Calculate the average of the Male values from the Platforms just found.
5. Calculate the difference between the two average values.
"
112,bar_simple,0xnim79vztf8hjor,bar_simple_0xnim79vztf8hjor,Which year shows the highest difference from the average?,"1. Calculate the average of Average ticket price in US dollars.
2. Calculate the difference between the average and each year.
3. Find the year that shows the highest absolute difference."
113,bar_simple,0w88bu7qm4ilsqmh,bar_simple_0w88bu7qm4ilsqmh,What is the difference between the average of before 2000 and from 2010?,"1. Find the average of the values for 1995 and 1999.
2. Find the average of the values for 2010, 2013, and 2017.
3. Calculate the difference between the two averages."
114,bar_grouped,0yx2080f08329xxb,bar_grouped_0yx2080f08329xxb,What is the difference between the average of the blue and orange bars in the first five years and the average of the blue and orange bars in the last five years?,"1. Get the values of the blue bar for the first five years.
2. Calculate the average.
3. Get the values of the orange bar for the first five years.
4. Calculate the average.
5. Calculate the difference between the two average values.
6. Get the values of the blue bar for the last five years.
7. Calculate the average.
8. Get the values of the orange bar for the last five years.
9. Calculate the average.
10. Calculate the difference between the two average values.
11. Calculate the difference between the two difference values between the two groups."
115,line_multiple,3z678inbp0t89ahu,line_multiple_3z678inbp0t89ahu,In how many years was the difference between Disatisfied and Satisfied less than the difference between their means?,"1. Calculate the average of Dissatisfied.
2. Calculate the average of Satisfied.
3. Calculate the difference between the two values.
4. Calculate the difference for each year. (PairDiffOp)
5. Count all years that have a lower difference than the difference between the averages."
116,line_multiple,3un2wyjae3ebkncl,line_multiple_3un2wyjae3ebkncl,"What is the average of the Internet, where the value of the year is higher than that of Radio and lower than that of Newspaper?","1. Find the years that the value of the Internet is above Radio and below Newspaper.
2. Calculate the average."
117,bar_stacked,1xz4egh52kvh2xwx,bar_stacked_1xz4egh52kvh2xwx,Is the sum of the orange and red values ​​from 2017 to 2020 greater than the US value in 2020?,"1. Sum all of the orange and red bars from 2017 to 2020.
2. Find the value of the US in 2020.
3. Determine which one is bigger."
118,line_simple,7272hodb02i6e09q,line_simple_7272hodb02i6e09q,What is the difference between the maximum before 2014 and the maximum after 2014?,"1. Calculate the maximum between the values before 2014.
2. Calculate the maximum between the values after 2014.
3. Calculate the difference."
119,bar_stacked,1y6itl6f2ho959ec,bar_stacked_1y6itl6f2ho959ec,How many countries have higher red and orange values than Chile?,"1. Find the value of the red(Disapproves) bar of Chile.
2. Find the value of the orange(No answer) bar of Chile.
3. Compare each country to see if the red(Disapproves) value and the orange(No answer) value are higher than those of Chile.
4. Count the number of the countries."
