chart_id,chart_type,op_status,viz_status,question,explanation,operation_spec,op_feedback,viz_feedback,updated_at
10x2rgiqw97wdspi,stackedBar,pending,pending,Which season was above average in both commercial and broadcasting?,Calculate the average Revenue_Million_Euros across all seasons for the Commercial revenue type. Compute the average Revenue_Million_Euros across all seasons for the Broadcasting revenue type. Compare each season’s Commercial value to the Commercial average and mark the seasons above it. Check those same seasons’ Broadcasting values against the Broadcasting average. Select the seasons that are above average in both revenue types.,"{""ops"": [{""op"": ""average"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Revenue_Million_Euros"", ""group"": ""Commercial""}], ""ops2"": [{""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Revenue_Million_Euros"", ""group"": ""Broadcasting""}], ""ops3"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n1""], ""sentenceIndex"": 3}, ""field"": ""Revenue_Million_Euros"", ""operator"": "">"", ""value"": ""ref:n1"", ""group"": ""Commercial""}], ""ops4"": [{""op"": ""filter"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3"", ""n2""], ""sentenceIndex"": 4}, ""field"": ""Revenue_Million_Euros"", ""operator"": "">"", ""value"": ""ref:n2"", ""group"": ""Broadcasting""}]}",,,
0qz3v0bszsex7jjm,simpleBar,bug,pending,Which fiscal years' expenditures are below average?,"Calculate the average of the “Expenditure in billion GBP” values across all fiscal years shown in the chart. 
Compare each fiscal year’s bar height to that average level. 
Select the fiscal years whose bars fall below the average. List those fiscal-year labels.","{""ops"": [{""op"": ""average"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Expenditure in billion GBP""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Expenditure in billion GBP"", ""operator"": ""<"", ""value"": ""ref:n1""}]}",,,2026-05-25T07:25:47.407Z
23wg8zio5ahp40tg,multipleLine,verified,pending,Which year had the biggest gap between favor and oppose?,Compute the absolute difference between the Oppose and Favor percentages for each year. Compare these year-by-year gaps across the chart. Select the year with the largest gap.,"{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""groupA"": ""Favor"", ""groupB"": ""Oppose"", ""seriesField"": ""Opinion"", ""by"": ""Year"", ""field"": ""Percentage"", ""absolute"": true}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""which"": ""max"", ""field"": ""Percentage""}]}",,,2026-05-26T01:33:49.139Z
28bxxhd6omv2l2h1,multipleLine,pending,pending,What is the difference between the maximum and minimum gap between the two groups?,Compute the gap between the two region lines at each Year by subtracting Newfoundland and Labrador from Canada. Determine the maximum of these yearly gaps and the minimum of these yearly gaps. Subtract the minimum gap from the maximum gap.,"{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""groupA"": ""Canada"", ""groupB"": ""Newfoundland and Labrador"", ""seriesField"": ""Region"", ""by"": ""Year"", ""field"": ""Life expectancy in years"", ""signed"": true}], ""ops2"": [{""op"": ""range"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Life expectancy in years""}]}",,,
29rxoltwhongoday,multipleLine,pending,pending,"In 2002 and 2017, which year shows the highest gap between two opinion?",Locate the two opinion values for 2002 on the chart. Subtract the Satisfied percentage from the Dissatisfied percentage to get the gap for 2002. Repeat the same subtraction for 2017. Compare the two gaps and select the year with the larger gap.,"{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""groupA"": ""Dissatisfied"", ""groupB"": ""Satisfied"", ""seriesField"": ""Opinion"", ""by"": ""Year"", ""field"": ""Percentage"", ""signed"": true}, {""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Year"", ""include"": [""2002"", ""2017""]}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 2}, ""which"": ""max"", ""field"": ""Percentage""}]}",,,
2eiyyw562tcvjypp,multipleLine,pending,pending,How many years has Russia had higher favorability than the US?,Pair the two country values for each year shown on the chart. Compare Russia’s favorability percentage to the US’s favorability percentage within each year. Count the years where Russia’s value is higher than the US’s.,"{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""groupA"": ""Russia"", ""groupB"": ""US"", ""seriesField"": ""Country"", ""by"": ""Year"", ""field"": ""Favorable_View_Percentage"", ""signed"": true}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""operator"": "">"", ""value"": 0}], ""ops3"": [{""op"": ""count"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 3}}]}",,,
221xwpab655f7g8x,stackedBar,pending,pending,What is the difference between the youngest age group's population values in an earliest year and the oldest age group's population values in an latest year?,Locate the earliest year on the x-axis and read the value of the youngest age-group segment (0–14 years). Locate the latest year on the x-axis and read the value of the oldest age-group segment (65 years and older). Subtract the latest-year oldest-group value from the earliest-year youngest-group value.,"{""ops"": [{""op"": ""retrieveValue"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""target"": ""2009"", ""field"": ""Share of total population"", ""group"": ""0–14 years""}], ""ops2"": [{""op"": ""retrieveValue"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [], ""sentenceIndex"": 2}, ""target"": ""2019"", ""field"": ""Share of total population"", ""group"": ""65 years and older""}], ""ops3"": [{""op"": ""diff"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n1"", ""n2""], ""sentenceIndex"": 3}, ""targetA"": ""ref:n1"", ""targetB"": ""ref:n2"", ""signed"": true}]}",,,2026-05-25T01:54:06
23an1hozb7myw4e2,stackedBar,pending,pending,Find the year when the share of men's apparel starts to decrease.,Read the men’s apparel segment value for each year in chronological order. Compare each year’s men’s share to the immediately previous year’s value. Select the first year where the men’s share is lower than the prior year.,"{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""group"": ""Men's apparel""}], ""ops2"": [{""op"": ""monotonicRun"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""direction"": ""decreasing"", ""mode"": ""firstBreak"", ""field"": ""Share_of_Revenue"", ""orderField"": ""Year""}]}",,,
4wqpl5jrdmc75go3,multipleLine,pending,pending,What is the average of direct and total content predicted in the future based on the present(2025)?,Treat “predicted in the future based on the present (2025)” as the year 2025 in the chart. Read the 2025 values for both Contribution_Type lines (Direct contribution and Total contribution). Calculate the mean of those two Economic_Impact_Billion_USD values.,"{""ops"": [{""op"": ""retrieveValue"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""target"": ""2025"", ""field"": ""Economic_Impact_Billion_USD"", ""group"": ""Direct contribution""}, {""op"": ""retrieveValue"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [], ""sentenceIndex"": 1}, ""target"": ""2025"", ""field"": ""Economic_Impact_Billion_USD"", ""group"": ""Total contribution""}], ""ops2"": [{""op"": ""add"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n1"", ""n2""], ""sentenceIndex"": 2}, ""targetA"": ""ref:n1"", ""targetB"": ""ref:n2""}, {""op"": ""scale"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 2}, ""target"": ""ref:n3"", ""factor"": 0.5}]}",,,
74p313e1n8rzkfzp,simpleLine,pending,pending,Find the a pair of age group with the largest difference between adjacent groups,Read the Share of respondents values for each age group in the chart’s left-to-right order. Calculate the absolute difference in Share of respondents for every pair of adjacent age groups. Compare these adjacent differences to find the maximum. Select the adjacent age-group pair associated with that maximum difference.,"{""ops"": [{""op"": ""lagDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Share of respondents"", ""absolute"": true}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""which"": ""max"", ""field"": ""Share of respondents""}]}",,,
7mgydgux0ay0flv4,simpleLine,pending,pending,What is the highest period of three years of average sales?,Compute a 3-year moving average by averaging “Number of units sold” for each consecutive 3-year window along the Year axis. Compare these window averages across all possible 3-year periods. Select the 3-year period with the largest average.,"{""ops"": [{""op"": ""rollingWindow"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""window"": 3, ""aggregate"": ""avg"", ""field"": ""Number of units sold"", ""orderField"": ""Year""}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""which"": ""max"", ""field"": ""Number of units sold""}]}",,,
4pi1e6ev8e0zobww,multipleLine,verified,pending,Find the difference between the average of the first three years of the male group and the average of the last three years of the female group,Select the male values for the first three years shown on the chart and compute their average. Select the female values for the last three years shown on the chart and compute their average. Subtract the male average from the female average to get the difference.,"{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Year"", ""operator"": ""between"", ""value"": [""2009"", ""2011""], ""group"": ""Male""}, {""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Population""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Year"", ""operator"": ""between"", ""value"": [""2018"", ""2020""], ""group"": ""Female""}, {""op"": ""average"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 2}, ""field"": ""Population""}], ""ops3"": [{""op"": ""diff"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n4"", ""n2""], ""sentenceIndex"": 3}, ""targetA"": ""ref:n4"", ""targetB"": ""ref:n2"", ""signed"": true}]}",,,2026-05-26T01:34:06.690Z
1gb8sqnptdsdvagz,groupedBar,pending,pending,Find a hair removal type with a share of 10% or more in the under 30s group,Filter the chart to the bars colored for the Under 30s age group. Check which of those bars reach at least 0.10 on the y-axis. Select one hair removal type whose Under 30s bar meets or exceeds that threshold.,"{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""group"": ""Under 30s""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Share of respondents"", ""operator"": "">="", ""value"": 0.1}]}",,,
4vcdm7lwwlgdd0h1,multipleLine,pending,pending,When was the year when the difference in wealth between the Senate and the House was the least?,Compute the absolute difference between the Senate and House Median_Wealth_Million_USD for each year. Compare these yearly gaps across the chart. Select the year with the smallest gap.,"{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""groupA"": ""Senate"", ""groupB"": ""House"", ""seriesField"": ""Chamber"", ""by"": ""Year"", ""field"": ""Median_Wealth_Million_USD"", ""absolute"": true}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""which"": ""min"", ""field"": ""Median_Wealth_Million_USD""}]}",,,
1hm2mi3o0ejxp7tn,groupedBar,pending,pending,"Among untreated people, find the difference between the proportion of males and the proportion of females",Filter the chart to the untreated categories by selecting the bars for “Normotensive untreated” and “Hypertensive untreated.” Sum the male shares across those untreated bars and sum the female shares across those untreated bars. Subtract the female total from the male total to get the difference.,"{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Group"", ""include"": [""Normotensive untreated"", ""Hypertensive untreated""]}], ""ops2"": [{""op"": ""sum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Share of respondents"", ""group"": ""Men""}, {""op"": ""sum"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Share of respondents"", ""group"": ""Women""}], ""ops3"": [{""op"": ""diff"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n2"", ""n3""], ""sentenceIndex"": 3}, ""targetA"": ""ref:n2"", ""targetB"": ""ref:n3"", ""signed"": true}]}",,,
