chart_type,chart_id,question,explanation
bar_stacked,bnil22qu3wwatrc7,"According to this chart, what is the difference between the average number of ""A better place to live"" opinion of Western Europe and the rest?","Treat Western Europe as the countries Netherlands, Germany, UK, Sweden, France, Spain, Greece, and Italy, and treat the rest as Hungary and Poland. Extract the “A better place to live” percentages for each group from the chart. Average the extracted percentages within each group. Subtract the rest-of-countries average from the Western Europe average."
bar_simple,1lg9qn6shf8ifsdq,Is the sum of the values until Jan 2013 times three smaller than the sum of the values from Feb 2013?,Sum the listener-hour values for all time periods ending at or before Jan 2013. Multiply that subtotal by three. Sum the listener-hour values for all time periods starting from Feb 2013 onward. Compare the tripled early subtotal to the later subtotal to determine whether it is smaller.
bar_grouped,2a7luy1tzrplr2as,What is the number of years where the total rice export shows over 6 billion?,Sum the two bars (Basmati rice and Non–basmati rice) within each fiscal-year column to get the total export for that year. Compare each yearly total against the 6-billion threshold. Count the fiscal years whose totals exceed 6.
line_simple,awg12vb36ndo75tq,Do poverty range increase faster in last 6 years than the first 6 years from this chart?,Treat the first 6 years as 2008–2013 and the last 6 years as 2015–2020 based on the Year axis. Get the poverty-rate change by subtracting the first year’s value from the last year’s value within each 6-year span. Divide each change by 5 to convert it to an average per-year increase. Compare the two per-year increases to decide which period rises faster.
line_multiple,cby91tt3tvahsmuj,Is the difference between the parties in 2012 bigger than the average of the differences of all years?,Calculate the absolute percentage-point difference between the two party lines for each year shown in the chart. Average those yearly differences across all years. Compute the absolute difference between the two parties in 2012. Compare the 2012 difference to the overall average difference.
bar_simple,1lf1h5jf9ymeid5q,Count the number of year that consists more than 3 million shipments increase compared to last year.,Sort the bars by Year in ascending order. Calculate the year-over-year change by subtracting each year’s shipments from the previous year’s shipments. Mark each year where this change is greater than 3 million. Count the marked years.
bar_stacked,bpmaqi8nt785y4ay,Count the year when American flims occupied the majority(more than 50%) of cinema admissions. Do they occupied the majority more than 3 years?,Filter the chart to the bars colored for American films. Check each year’s American-films segment against the 50% threshold. Count the years where that segment exceeds 50%. Compare that count to 3 to decide whether it is more than 3 years.
bar_stacked,c3mncg8r4g6bjoon,Is Germany has higher share of respondents in Gasoline or diesel compared to the average of rest of the countries?,Get Germany’s value for the “Gasoline or diesel (ICE)” segment from the chart. Average the “Gasoline or diesel (ICE)” values across all the other countries. Compare Germany’s value to that average to determine whether it is higher.
bar_stacked,c1dkepdvg39l54su,Do respondents from London has more preference to used car compared to the average of whole region?,Get the “Used car” share for London from the chart. Calculate the average “Used car” share across all regions by averaging the “Used car” segment values for each region. Compare London’s “Used car” share to that overall average to determine whether it is higher.
bar_simple,1jgaguuh4rqlk7sq,What is the difference of the sum of sales between the first six years and the last six years?,Split the chart into the first six years shown (2008–2013) and the last six years shown (2014–2019). Sum the sales-volume values for the first group of six bars. Add the sales-volume values for the second group of six bars. Subtract the last-six-years total from the first-six-years total.
bar_grouped,2ecy6apyrdfpoqbo,How many fiscal year exist where the beer is smaller than the sum of soft drink and hot dog?,Group the bars by fiscal year. Add the Soft drink and Hot dog values within each fiscal year. Compare that sum to the Beer value for the same fiscal year. Count the fiscal years where Beer is smaller than the combined total.
line_simple,b4o9bh8f969q6kqa,What is the number of years where the value is lower than the average?,Calculate the average of the index scores across all years in the chart. Compare each year’s index score to that average. Count the years whose index score falls below the average.
line_multiple,ciqofa9lr4z5kz7d,What year shows the second lowest absolute difference between Revenue and Expenditure?,Compute the absolute difference between the Revenue and Expenditure values for each year. Sort these yearly absolute differences from smallest to largest. Select the year associated with the second entry in that sorted list.
line_simple,avwb8xstxx1lmfpk,What is the Year that has the biggest deviation from the total average?,Compute the overall average of the Consumer Price Index values across all months shown in the chart. Calculate each year’s average Consumer Price Index using the months that fall in that year. Subtract the overall average from each year’s average and take the absolute value. Compare these deviations and select the year with the largest deviation.
line_multiple,bkemtvekxtnuk8bf,"What is the year when the ""Favorable view of US"" data and ""Confidence in Obama"" is the second nearest?",Compute the absolute difference between the two metric values for each year. Sort the yearly differences from smallest to largest. Select the year associated with the second-smallest difference.
bar_simple,1j86ensex8nyvdyk,What 3-year range shows the highest increase?,Compute the net change in “Number of arrivals in millions” from the first year to the third year for every consecutive 3-year window on the chart. Compare these net changes across all windows. Select the 3-year range with the largest net increase.
bar_grouped,273wm22z47ptlhzz,"With today and previous week, do male respondents used the application than female respondents?",Locate the “Today” and “Within the previous week” bars in the Male column and add their Share_of_Respondents values. Locate the same two bars in the Female column and add their values. Compare the two summed totals to determine whether the male total is greater than the female total.
bar_grouped,12sdcc2xjltg7qj2,"Among the differences between the blue and orange bars, how many times is the largest value greater than the smallest value?",Compute the absolute difference between the two category bars within each year. Select the largest of these yearly differences and the smallest of these yearly differences. Divide the largest difference by the smallest difference to get the multiplicative factor.
line_simple,72yqb8jwj9a6g4nx,What is the difference between the average from 2011 and the average up to 2010?,"Split the chart into two groups: years up to and including 2010, and years from 2011 onward. Average the “Percentage of internet users” values in the up-to-2010 group. Average the values in the 2011-onward group. Subtract the up-to-2010 average from the 2011-onward average."
line_simple,6al86e9qyokma74i,How many years are below average?,Calculate the average of the “Number of renunciations” values across all years in the chart. Compare each year’s value to that average. Count the years whose values fall below the average.
line_simple,724mfnyk34kp97le,How many years are there that have a lower value than the average?,Calculate the average of the “Cinema visits in millions” values across all years in the chart. Compare each year’s value to that average. Count the years whose values fall below the average.
bar_stacked,1q3mzgt77lwo172f,In which year is the difference between the blue and gray bars the greatest?,"Treat the blue bars as the “0 – 500 million US dollars” segment and the gray bars as the “Over 10,001 million US dollars” segment. Read the Market share values for those two segments in each year. Calculate the absolute difference between the two values for every year. Compare these differences across years and select the year with the largest gap."
bar_simple,0xo3r87obscjsktm,How many times is the difference between El Salvador and Ukraine greater than the difference between El Salvador and Denmark?,"Read the mortality values for El Salvador, Ukraine, and Denmark from the bars. Subtract El Salvador’s value from Ukraine’s value to get one difference. Subtract El Salvador’s value from Denmark’s value to get the other difference. Divide the first difference by the second to obtain the multiplicative factor."
bar_grouped,0ykydh8vao50ceou,Which channel shows the maximum difference between the highest value and the lowest value of each channel?,Group the bars by Channel and read the y-values across all years within each group. Determine the highest and lowest value for each channel. Calculate the range for each channel by subtracting the lowest from the highest. Compare these ranges and select the channel with the largest range.
line_multiple,4p1m4tsmzmtvsrys,What is the difference between the days when Obama is higher than Romney and the days when Romney is higher than Obama?,Compare Obama’s and Romney’s Share_of_Respondents at each Date_Range point on the chart. Count the Date_Range entries where Obama’s value is higher and separately count those where Romney’s value is higher. Subtract the smaller count from the larger count to get the difference.
bar_simple,0wflwm4jebx7n12y,What is the difference between the average and the maximum number?,Find the maximum value of the “Number of fires” bars. Calculate the average of “Number of fires” across all years shown. Subtract the average from the maximum.
bar_stacked,21fa7gb8l1ix6yfm,Which method shows the highest difference between every day and less often?,Read the “EVERY DAY” and “LESS OFTEN” segment values for each Method in the stacked bars. Calculate the absolute difference between those two Frequency values within each Method. Compare these differences across all Methods. Select the Method with the largest difference.
bar_grouped,0zjxkqy20iibpdvo,What is the difference between the average for Female on platforms more used by Male and the average for Male on platforms more used by Female?,Compare the Male and Female bars within each platform to split platforms into those more used by Male versus more used by Female. Average the Female values across the platforms where the Male bar is higher. Average the Male values across the platforms where the Female bar is higher. Subtract the second average from the first.
bar_simple,0xnim79vztf8hjor,Which year shows the highest difference from the average?,Calculate the average of the “Average ticket price in US dollars” values across all fiscal years. Compute the absolute difference between each year’s value and that overall average. Compare these absolute differences across years. Select the fiscal year with the largest absolute difference.
bar_simple,0w88bu7qm4ilsqmh,What is the difference between the average of before 2000 and from 2010?,Split the bars into those with Year before 2000 and those with Year from 2010 onward. Average the “Installed base in million units” values within each of the two groups. Subtract the earlier-period average from the later-period average.
bar_grouped,0yx2080f08329xxb,What is the difference between the average of the blue and orange bars in the first five years and the average of the blue and orange bars in the last five years?,Treat the first five years as 2009–2013 and the last five years as 2014–2018. Average the blue and orange bar values across all bars in the first five years (10 bars total). Average the blue and orange bar values across all bars in the last five years (10 bars total). Subtract the last-five-years average from the first-five-years average.
line_multiple,3z678inbp0t89ahu,In how many years was the difference between Disatisfied and Satisfied less than the difference between their means?,Compute the mean Percentage_of_Respondents for Dissatisfied across all years and the mean for Satisfied across all years. Subtract the Satisfied mean from the Dissatisfied mean to get the difference between their means. Calculate the yearly gap by subtracting Satisfied from Dissatisfied for each year. Compare each yearly gap to the mean-difference value. Count the years where the yearly gap is smaller.
line_multiple,3un2wyjae3ebkncl,"What is the average of the Internet, where the value of the year is higher than that of Radio and lower than that of Newspaper?",Filter the chart to the Internet series and keep only years where the Internet value lies between the Radio and Newspaper values for the same year. Collect the Internet Share_of_Respondents values for those qualifying years. Sum those Internet values and divide by the count of qualifying years to get the average.
bar_stacked,1xz4egh52kvh2xwx,Is the sum of the orange and red values ​​from 2017 to 2020 greater than the US value in 2020?,Treat the orange and red segments as the non-US regions (Canada and Other International) in each stacked bar. Sum the Canada and Other International values across the years 2017 through 2020. Compare that combined total to the US segment value for the year 2020.
line_simple,7272hodb02i6e09q,What is the difference between the maximum before 2014 and the maximum after 2014?,Filter the chart to the years before 2014 and note the highest population-growth value in that subset. Filter the chart to the years after 2014 and note the highest population-growth value in that subset. Subtract the after-2014 maximum from the before-2014 maximum.
bar_stacked,1y6itl6f2ho959ec,How many countries have higher red and orange values than Chile?,Treat the red and orange segments as the Approves and Disapproves shares in each stacked bar. Read Chile’s Approves and Disapproves values from its bar. Compare each country’s Approves and Disapproves values against Chile’s corresponding values. Count the countries that exceed Chile on both segments.
line_multiple,4ldjaoujpydpkbu5,In how many years was the difference between Female and Male higher than average?,Calculate the Female–Male difference for each year by subtracting the Female value from the Male value. Average these yearly differences across all years shown in the chart. Compare each year’s difference to that average. Count the years whose difference is greater than the average.
bar_grouped,0k75gqf8ckjikdym,For which year was the difference between the average age at marriage for men and women the lowest?,Subtract the Female value from the Male value for each Year to get the gender gap. Compare these gaps across all years. Select the year with the smallest gap.
line_multiple,1p4nnba4568wza9n,How many times did the dominant opinion change?,Compare the Good and Bad percentages within each year to determine which opinion is dominant. Track the dominant opinion year by year in chronological order. Count the number of times the dominant opinion differs from the immediately preceding year.
bar_stacked,0gzowodb2py0d1s9,How many years did Thailand's revenue exceed that of the Philippines'?,Compare Thailand and Philippines segment values within each year on the chart. Mark each year where Thailand’s Revenue_Million_USD is greater than the Philippines’ value. Count the marked years.
bar_stacked,0nmj7sdej4cipma7,Which country had the most significant difference in net sales between the years 2019 and 2020?,Focus on the 2019 and 2020 bars and read the segment values for each segment. Calculate the absolute change in net sales from 2019 to 2020 for each segment. Compare these changes across segments. Select the segment with the largest change.
bar_simple,0i9bxppwocx0tyop,How many employees did they have on average between 2008 and 2011?,Select the bars for the years 2008 through 2011 inclusive. Add their “Number of employees” values together. Divide the total by 4 to get the average.
bar_grouped,0lua5jsw92d3enb4,How many diet types surpassed the threshold of 0.03% in 2019?,Focus on the bars colored for 2019 in each Diet Type panel. Compare each 2019 bar’s height to the 0.03 mark on the y-axis. Keep only diet types whose 2019 value is strictly greater than 0.03. Count the remaining diet types.
bar_simple,0iv07908ph6y6ifj,What was the average of active users from March '16 to March '19?,Select the bars whose Date runs from Mar '16 through Mar '19 inclusive. Sum their “Active users in millions” values. Divide the total by the number of selected dates to get the average.
line_simple,1jabqwjz9pmd7qwz,What was the median number of facilities between the years 2010 and 2019?,Filter the chart to the years 2010 through 2019 inclusive. List the ten “Number of facilities” values for those years and sort them from smallest to largest. Take the two middle values (5th and 6th) and calculate their average to get the median.
line_simple,1sf5c8wqw1192q6b,How many dates was the growth rate below the average?,Calculate the average of the “Growth rate of HICP (%)” values across all months shown in the chart. Compare each month’s growth rate to that average. Count the months whose growth rate falls below the average.
line_multiple,1vh62ks9wweck6m2,In which year did men and women report the most similar stress levels?,Compute the absolute difference between the Women and Men Level_of_Stress values for each year. Compare these yearly gaps across the chart. Select the year with the smallest gap.
bar_simple,0jbrb1dcbliiampz,How many years had investments of over 22 Billion Euros in the years 2011 to 2014?,Restrict attention to the bars for years 2011 through 2014. Check which of those bars have an investments value greater than 22 on the y-axis. Count the years that meet this condition.
bar_stacked,0ufvwi9xv37e597q,Which season has the biggest gap between Matchday and Commercial?,Read the Matchday and Commercial segment values for each season from the stacked bars. Calculate the absolute difference between those two values within each season. Compare these differences across all seasons. Select the season with the largest difference.
