chart_type,operation,runner_status,auto_draw_status,current_visual_strategy,current_stage_order,current_state_effect,primary_source_file,implementation_gap,researcher_rule_note
simple-bar,pairDiff,no,unsupported,auto-draw explicitly warns unsupported for simple bar,none,none,src/rendering/ops/visual/bar/simple/simpleBarAutoDrawPlanBuilder.ts,unsupported by design,
simple-bar,nth,no,yes,auto-draw can highlight nth target + value text but runner currently skips it,highlight -> text,none because runner skips,src/rendering/ops/visual/bar/simple/simpleBarAutoDrawPlanBuilder.ts,runner not wired,
simple-bar,count,no,yes,auto-draw can draw top/count text but runner currently skips it,single stage,none because runner skips,src/rendering/ops/visual/bar/simple/simpleBarAutoDrawPlanBuilder.ts,runner not wired,
simple-bar,add,no,no,no current simple-bar auto-draw builder entry and runner skips it,none,none,src/rendering/ops/visual/bar/simple/simpleBarAutoDrawPlanBuilder.ts,missing visual strategy,
simple-bar,scale,no,yes,auto-draw can draw scaled value line + text + original target label but runner currently skips it,line -> text,none because runner skips,src/rendering/ops/visual/bar/simple/simpleBarAutoDrawPlanBuilder.ts,runner not wired,
stacked-bar,retrieveValue,yes,yes,"forward(x): highlight stack segments + value text; reverse(y, targetAxis='y'): horizontal guideline at y=target + segment highlight + category text",highlight -> text,lastResult only,src/operation-new/appliers/stackedBar/retrieveValue.ts,,supports targetAxis 'x' | 'y'
stacked-bar,filter,yes,yes,filter stacked chart scope; may transform active state for retained data,salience/filter -> active state update,updates workingData + filterContext,src/operation-next/runners/stackedBar.ts,,
stacked-bar,findExtremum,no,yes,auto-draw can draw extrema aggregate line/text + anchored segment labels but runner skips it,line -> text,none because runner skips,src/rendering/ops/visual/bar/stacked/stackedBarAutoDrawPlanBuilder.ts,runner not wired,
stacked-bar,compareBool,no,yes,auto-draw can build binary stacked comparison but runner skips it,highlight -> rail/bracket/text,none because runner skips,src/rendering/ops/visual/bar/stacked/stackedBarAutoDrawPlanBuilder.ts,runner not wired,
stacked-bar,diffByValue,no,no,no current stacked-bar runner or auto-draw strategy,none,none,src/operation-next/runners/stackedBar.ts,missing visual strategy,
stacked-bar,sort,no,yes,auto-draw can clear + sort but runner skips it,clear -> sort,none because runner skips,src/rendering/ops/visual/bar/stacked/stackedBarAutoDrawPlanBuilder.ts,runner not wired,
stacked-bar,sum,no,yes,auto-draw can draw structural sum annotation but runner skips it,single stage,none because runner skips,src/rendering/ops/visual/bar/stacked/stackedBarAutoDrawPlanBuilder.ts,runner not wired,
stacked-bar,average,yes,yes,uses grouped-bar average operation logic on stacked active chart,line -> text,lastResult + annotationRecords,src/operation-next/runners/stackedBar.ts,,
stacked-bar,diff,yes,yes,uses grouped-bar diff operation logic on stacked active chart,highlight -> rail/bracket/text,lastResult + annotationRecords,src/operation-next/runners/stackedBar.ts,,
stacked-bar,lagDiff,no,yes,auto-draw can connect stack segments + delta text but runner skips it,highlight -> connector/text,none because runner skips,src/rendering/ops/visual/bar/stacked/stackedBarAutoDrawPlanBuilder.ts,runner not wired,
stacked-bar,pairDiff,no,yes,auto-draw can compare two stacked series at same target but runner skips it,highlight -> connector/text,none because runner skips,src/rendering/ops/visual/bar/stacked/stackedBarAutoDrawPlanBuilder.ts,runner not wired,
stacked-bar,nth,no,yes,auto-draw can highlight nth target + value text but runner skips it,highlight -> text,none because runner skips,src/rendering/ops/visual/bar/stacked/stackedBarAutoDrawPlanBuilder.ts,runner not wired,
stacked-bar,count,no,yes,auto-draw can draw count text but runner skips it,single stage,none because runner skips,src/rendering/ops/visual/bar/stacked/stackedBarAutoDrawPlanBuilder.ts,runner not wired,
stacked-bar,add,no,yes,auto-draw can draw result line + text but runner skips it,line -> text,none because runner skips,src/rendering/ops/visual/bar/stacked/stackedBarAutoDrawPlanBuilder.ts,runner not wired,
stacked-bar,scale,no,yes,auto-draw can draw scaled line + text but runner skips it,line -> text,none because runner skips,src/rendering/ops/visual/bar/stacked/stackedBarAutoDrawPlanBuilder.ts,runner not wired,
grouped-bar,retrieveValue,yes,yes,"forward(x): highlight grouped bars + value text; reverse(y, targetAxis='y'): horizontal guideline at y=target + bar highlight + category text",highlight -> text,lastResult only,src/operation-new/appliers/groupedBar/retrieveValue.ts,,supports targetAxis 'x' | 'y'
grouped-bar,filter,yes,yes,filter grouped chart scope; retained marks remain operational context,salience/filter -> active state update,updates workingData + filterContext,src/operation-next/runners/groupedBar.ts,,
grouped-bar,findExtremum,no,yes,auto-draw can highlight extrema grouped bars + value text but runner skips it,highlight -> text,none because runner skips,src/rendering/ops/visual/bar/grouped/groupedBarAutoDrawPlanBuilder.ts,runner not wired,
grouped-bar,compareBool,no,yes,auto-draw can build grouped binary comparison but runner skips it,highlight -> rail/bracket/text,none because runner skips,src/rendering/ops/visual/bar/grouped/groupedBarAutoDrawPlanBuilder.ts,runner not wired,
grouped-bar,diffByValue,no,no,no current grouped-bar runner or auto-draw strategy,none,none,src/operation-next/runners/groupedBar.ts,missing visual strategy,
grouped-bar,sort,no,yes,auto-draw can clear + sort but runner skips it,clear -> sort,none because runner skips,src/rendering/ops/visual/bar/grouped/groupedBarAutoDrawPlanBuilder.ts,runner not wired,
grouped-bar,sum,no,yes,auto-draw can draw structural sum annotation but runner skips it,single stage,none because runner skips,src/rendering/ops/visual/bar/grouped/groupedBarAutoDrawPlanBuilder.ts,runner not wired,
grouped-bar,average,yes,yes,draw average line/text; single group may convert grouped to simple view,line -> text,lastResult + annotationRecords,src/operation-next/runners/groupedBar.ts,,
grouped-bar,diff,yes,yes,draw grouped binary comparison rail/bracket + delta text,highlight -> rail/bracket/text,lastResult + annotationRecords,src/operation-next/runners/groupedBar.ts,,
grouped-bar,lagDiff,no,yes,auto-draw can connect grouped bars + delta text but runner skips it,highlight -> connector/text,none because runner skips,src/rendering/ops/visual/bar/grouped/groupedBarAutoDrawPlanBuilder.ts,runner not wired,
grouped-bar,pairDiff,no,yes,auto-draw can compare two groups by target or facet panel but runner skips it,highlight -> rail/bracket/text,none because runner skips,src/rendering/ops/visual/bar/grouped/groupedBarAutoDrawPlanBuilder.ts,runner not wired,
grouped-bar,nth,no,yes,auto-draw can highlight nth target + value text but runner skips it,highlight -> text,none because runner skips,src/rendering/ops/visual/bar/grouped/groupedBarAutoDrawPlanBuilder.ts,runner not wired,
grouped-bar,count,no,yes,auto-draw can draw count text but runner skips it,single stage,none because runner skips,src/rendering/ops/visual/bar/grouped/groupedBarAutoDrawPlanBuilder.ts,runner not wired,
grouped-bar,add,no,yes,auto-draw can draw result line + text but runner skips it,line -> text,none because runner skips,src/rendering/ops/visual/bar/grouped/groupedBarAutoDrawPlanBuilder.ts,runner not wired,
grouped-bar,scale,no,yes,auto-draw can draw scaled line + text but runner skips it,line -> text,none because runner skips,src/rendering/ops/visual/bar/grouped/groupedBarAutoDrawPlanBuilder.ts,runner not wired,
simple-line,retrieveValue,yes,yes,"forward(x): highlight points + value text; reverse(y, targetAxis='y'): vertical guideline from plot top down to point + x category text",highlight/guide -> text,lastResult only,src/operation-new/appliers/simpleLine/retrieveValue.ts,,supports targetAxis 'x' | 'y'
simple-line,filter,yes,yes,apply line filter context; may split/dim/remove outside segments,filter context -> salience -> annotation,updates workingData + filterContext + salienceMap,src/operation-next/runners/simpleLine.ts,,
simple-line,findExtremum,yes,yes,highlight extrema points + guide lines + value text,highlight/guide -> text,lastResult only; may use derivedData via dependency state,src/operation-next/runners/simpleLine.ts,,
simple-line,compareBool,no,yes,auto-draw can build simple-line binary comparison but runner skips it,highlight -> rail/bracket/text,none because runner skips,src/rendering/ops/visual/line/simple/simpleLineAutoDrawPlanBuilder.ts,runner not wired,
simple-line,diffByValue,no,no,no current simple-line runner or auto-draw strategy,none,none,src/operation-next/runners/simpleLine.ts,missing visual strategy,
simple-line,sort,no,no,no current simple-line runner or auto-draw strategy,none,none,src/operation-next/runners/simpleLine.ts,missing visual strategy,
simple-line,sum,no,yes,auto-draw can draw horizontal sum line + top text but runner skips it,line -> text,none because runner skips,src/rendering/ops/visual/line/simple/simpleLineAutoDrawPlanBuilder.ts,runner not wired,
simple-line,average,yes,yes,draw horizontal average line + average text,line -> text,lastResult + annotationRecords,src/operation-next/runners/simpleLine.ts,,
simple-line,diff,yes,yes,draw binary line-point comparison annotation,highlight -> rail/bracket/text,lastResult + annotationRecords,src/operation-next/runners/simpleLine.ts,,
simple-line,lagDiff,yes,yes,connect previous/current points + highlight delta targets + value text,connector -> highlight/text,updates derivedData + lastResult,src/operation-next/runners/simpleLine.ts,,
simple-line,pairDiff,no,unsupported,auto-draw explicitly warns unsupported for simple line,none,none,src/rendering/ops/visual/line/simple/simpleLineAutoDrawPlanBuilder.ts,unsupported by design,
simple-line,nth,no,yes,auto-draw can highlight nth point but runner skips it,highlight,none because runner skips,src/rendering/ops/visual/line/simple/simpleLineAutoDrawPlanBuilder.ts,runner not wired,
simple-line,count,no,yes,auto-draw can draw count text but runner skips it,single stage,none because runner skips,src/rendering/ops/visual/line/simple/simpleLineAutoDrawPlanBuilder.ts,runner not wired,
simple-line,add,no,yes,auto-draw can draw horizontal result line + text but runner skips it,line -> text,none because runner skips,src/rendering/ops/visual/line/simple/simpleLineAutoDrawPlanBuilder.ts,runner not wired,
simple-line,scale,no,yes,auto-draw can draw scaled horizontal line + text but runner skips it,line -> text,none because runner skips,src/rendering/ops/visual/line/simple/simpleLineAutoDrawPlanBuilder.ts,runner not wired,
multi-line,retrieveValue,yes,yes,"forward(x): highlight series points + value text; reverse(y, targetAxis='y'): vertical guidelines for each matching (series, x) + x category text",highlight -> text,lastResult only,src/operation-new/appliers/multipleLine/retrieveValue.ts,,supports targetAxis 'x' | 'y'
multi-line,filter,yes,yes,apply multi-line filter context; may dim/remove series or line segments,filter context -> salience -> annotation,updates workingData + filterContext + salienceMap,src/operation-next/runners/multipleLine.ts,,
multi-line,findExtremum,yes,yes,highlight extrema points + value text,highlight -> text,lastResult only; may use derivedData and scaleState via dependency state,src/operation-next/runners/multipleLine.ts,,
multi-line,compareBool,no,yes,auto-draw can build multi-line binary comparison but runner skips it,highlight -> rail/bracket/text,none because runner skips,src/rendering/ops/visual/line/multiple/multipleLineAutoDrawPlanBuilder.ts,runner not wired,
multi-line,diffByValue,no,no,no current multi-line runner or auto-draw strategy,none,none,src/operation-next/runners/multipleLine.ts,missing visual strategy,
multi-line,sort,no,no,no current multi-line runner or auto-draw strategy,none,none,src/operation-next/runners/multipleLine.ts,missing visual strategy,
multi-line,sum,no,yes,auto-draw can draw horizontal sum line + top text but runner skips it,line -> text,none because runner skips,src/rendering/ops/visual/line/multiple/multipleLineAutoDrawPlanBuilder.ts,runner not wired,
multi-line,average,yes,yes,draw horizontal average line + average text; respects pairDiff scaleState when present,line -> text,lastResult + annotationRecords,src/operation-next/runners/multipleLine.ts,,
multi-line,diff,yes,yes,draw binary multi-line point comparison annotation,highlight -> rail/bracket/text,lastResult + annotationRecords,src/operation-next/runners/multipleLine.ts,,
multi-line,lagDiff,yes,yes,connect previous/current points within series + highlight delta targets + value text,connector -> highlight/text,updates derivedData + lastResult,src/operation-next/runners/multipleLine.ts,,
multi-line,pairDiff,yes,yes,connect paired series points + delta text + highlights; may rescale isolated view,highlight -> connector/text,updates derivedData + scaleState + lastResult,src/operation-next/runners/multipleLine.ts,,
multi-line,nth,no,yes,auto-draw can highlight nth point but runner skips it,highlight,none because runner skips,src/rendering/ops/visual/line/multiple/multipleLineAutoDrawPlanBuilder.ts,runner not wired,
multi-line,count,no,yes,auto-draw can draw count text but runner skips it,single stage,none because runner skips,src/rendering/ops/visual/line/multiple/multipleLineAutoDrawPlanBuilder.ts,runner not wired,
multi-line,add,no,yes,auto-draw can draw horizontal result line + text but runner skips it,line -> text,none because runner skips,src/rendering/ops/visual/line/multiple/multipleLineAutoDrawPlanBuilder.ts,runner not wired,
multi-line,scale,no,yes,auto-draw can draw scaled horizontal line + text but runner skips it,line -> text,none because runner skips,src/rendering/ops/visual/line/multiple/multipleLineAutoDrawPlanBuilder.ts,runner not wired,
